(20, 'elephant', 'camel')
(37, 'elephant', 'goat')
(37, 'elephant', 'goose')
(37, 'elephant', 'rat')
(37, 'elephant', 'butterfly')
(37, 'camel', 'donkey')
(37, 'camel', 'goat')
(37, 'camel', 'goose')
(37, 'camel', 'rat')
(37, 'camel', 'butterfly')
(37, 'donkey', 'goat')
(37, 'donkey', 'goose')
(37, 'donkey', 'rat')
(37, 'donkey', 'butterfly')
(37, 'goat', 'goose')
(37, 'goat', 'rat')
(37, 'goat', 'butterfly')
(37, 'goose', 'rat')
(37, 'goose', 'butterfly')
(37, 'rat', 'butterfly')
(38, 'elephant', 'camel')
(38, 'elephant', 'donkey')
(38, 'elephant', 'goat')
(38, 'elephant', 'goose')
(38, 'elephant', 'rat')
(38, 'elephant', 'butterfly')
(38, 'camel', 'donkey')
(38, 'camel', 'goat')
(38, 'camel', 'goose')
(38, 'camel', 'rat')
(38, 'camel', 'butterfly')
(38, 'donkey', 'goat')
(38, 'donkey', 'goose')
(38, 'donkey', 'rat')
(38, 'donkey', 'butterfly')
(38, 'goat', 'goose')
(38, 'goat', 'rat')
(38, 'goat', 'butterfly')
(38, 'goose', 'rat')
(38, 'goose', 'butterfly')
(38, 'rat', 'butterfly')
(39, 'elephant', 'camel')
(39, 'elephant', 'donkey')
(39, 'elephant', 'goat')
(39, 'elephant', 'goose')
(39, 'elephant', 'rat')
(39, 'elephant', 'butterfly')
(39, 'camel', 'donkey')
(39, 'camel', 'goat')
(39, 'camel', 'goose')
(39, 'camel', 'rat')
(39, 'camel', 'butterfly')
(39, 'donkey', 'goat')
(39, 'donkey', 'goose')
(39, 'donkey', 'rat')
(39, 'donkey', 'butterfly')
(39, 'goat', 'goose')
(39, 'goat', 'rat')
(39, 'goat', 'butterfly')
(39, 'goose', 'rat')
(39, 'goose', 'butterfly')
(39, 'rat', 'butterfly')
(40, 'elephant', 'camel')
(40, 'elephant', 'donkey')
(40, 'elephant', 'goat')
(40, 'elephant', 'goose')
(40, 'elephant', 'rat')
(40, 'elephant', 'butterfly')
(40, 'camel', 'donkey')
(40, 'camel', 'goat')
(40, 'camel', 'goose')
(40, 'camel', 'rat')
(40, 'camel', 'butterfly')
(40, 'donkey', 'goat')
(40, 'donkey', 'goose')
(40, 'donkey', 'rat')
(40, 'donkey', 'butterfly')
(40, 'goat', 'goose')
(40, 'goat', 'rat')
(40, 'goat', 'butterfly')
(40, 'goose', 'rat')
(40, 'goose', 'butterfly')
(40, 'rat', 'butterfly')
(41, 'elephant', 'camel')
(41, 'elephant', 'donkey')
(41, 'elephant', 'goat')
(41, 'elephant', 'goose')
(41, 'elephant', 'rat')
(41, 'elephant', 'butterfly')
(41, 'camel', 'donkey')
(41, 'camel', 'goat')
(41, 'camel', 'goose')
(41, 'camel', 'rat')
(41, 'camel', 'butterfly')
(41, 'donkey', 'goat')
(41, 'donkey', 'goose')
(41, 'donkey', 'rat')
(41, 'donkey', 'butterfly')
(41, 'goat', 'goose')
(41, 'goat', 'rat')
(41, 'goat', 'butterfly')
(41, 'goose', 'rat')
(41, 'goose', 'butterfly')
(41, 'rat', 'butterfly')
(42, 'elephant', 'camel')
(42, 'elephant', 'donkey')
(42, 'elephant', 'goat')
(42, 'elephant', 'goose')
(42, 'elephant', 'rat')
(42, 'elephant', 'butterfly')
(42, 'camel', 'donkey')
(42, 'camel', 'goat')
(42, 'camel', 'goose')
(42, 'camel', 'rat')
(42, 'camel', 'butterfly')
(42, 'donkey', 'goat')
(42, 'donkey', 'goose')
(42, 'donkey', 'rat')
(42, 'donkey', 'butterfly')
(42, 'goat', 'goose')
(42, 'goat', 'rat')
(42, 'goat', 'butterfly')
(42, 'goose', 'rat')
(42, 'goose', 'butterfly')
(42, 'rat', 'butterfly')
(43, 'elephant', 'camel')
(43, 'elephant', 'donkey')
(43, 'elephant', 'goat')
(43, 'elephant', 'goose')
(43, 'elephant', 'rat')
(43, 'elephant', 'butterfly')
(43, 'camel', 'donkey')
(43, 'camel', 'goat')
(43, 'camel', 'goose')
(43, 'camel', 'rat')
(43, 'camel', 'butterfly')
(43, 'donkey', 'goat')
(43, 'donkey', 'goose')
(43, 'donkey', 'rat')
(43, 'donkey', 'butterfly')
(43, 'goat', 'goose')
(43, 'goat', 'rat')
(43, 'goat', 'butterfly')
(43, 'goose', 'rat')
(43, 'goose', 'butterfly')
(43, 'rat', 'butterfly')
(44, 'elephant', 'camel')
(44, 'elephant', 'donkey')
(44, 'elephant', 'goat')
(44, 'elephant', 'goose')
(44, 'elephant', 'rat')
(44, 'elephant', 'butterfly')
(44, 'camel', 'donkey')
(44, 'camel', 'goat')
(44, 'camel', 'goose')
(44, 'camel', 'rat')
(44, 'camel', 'butterfly')
(44, 'donkey', 'goat')
(44, 'donkey', 'goose')
(44, 'donkey', 'rat')
(44, 'donkey', 'butterfly')
(44, 'goat', 'goose')
(44, 'goat', 'rat')
(44, 'goat', 'butterfly')
(44, 'goose', 'rat')
(44, 'goose', 'butterfly')
(44, 'rat', 'butterfly')
(45, 'elephant', 'camel')
(45, 'elephant', 'donkey')
(45, 'elephant', 'goat')
(45, 'elephant', 'goose')
(45, 'elephant', 'rat')
(45, 'elephant', 'butterfly')
(45, 'camel', 'donkey')
(45, 'camel', 'goat')
(45, 'camel', 'goose')
(45, 'camel', 'rat')
(45, 'camel', 'butterfly')
(45, 'donkey', 'goat')
(45, 'donkey', 'goose')
(45, 'donkey', 'rat')
(45, 'donkey', 'butterfly')
(45, 'goat', 'goose')
(45, 'goat', 'rat')
(45, 'goat', 'butterfly')
(45, 'goose', 'rat')
(45, 'goose', 'butterfly')
(45, 'rat', 'butterfly')
(46, 'elephant', 'camel')
(46, 'elephant', 'donkey')
(46, 'elephant', 'goat')
(46, 'elephant', 'goose')
(46, 'elephant', 'rat')
(46, 'elephant', 'butterfly')
(46, 'camel', 'donkey')
(46, 'camel', 'goat')
(46, 'camel', 'goose')
(46, 'camel', 'rat')
(46, 'camel', 'butterfly')
(46, 'donkey', 'goat')
(46, 'donkey', 'goose')
(46, 'donkey', 'rat')
(46, 'donkey', 'butterfly')
(46, 'goat', 'goose')
(46, 'goat', 'rat')
(46, 'goat', 'butterfly')
(46, 'goose', 'rat')
(46, 'goose', 'butterfly')
(46, 'rat', 'butterfly')
(47, 'elephant', 'camel')
(47, 'elephant', 'donkey')
(47, 'elephant', 'goat')
(47, 'elephant', 'goose')
(47, 'elephant', 'rat')
(47, 'elephant', 'butterfly')
(47, 'camel', 'donkey')
(47, 'camel', 'goat')
(47, 'camel', 'goose')
(47, 'camel', 'rat')
(47, 'camel', 'butterfly')
(47, 'donkey', 'goat')
(47, 'donkey', 'goose')
(47, 'donkey', 'rat')
(47, 'donkey', 'butterfly')
(47, 'goat', 'goose')
(47, 'goat', 'rat')
(47, 'goat', 'butterfly')
(47, 'goose', 'rat')
(47, 'goose', 'butterfly')
(47, 'rat', 'butterfly')
(48, 'elephant', 'camel')
(48, 'elephant', 'donkey')
(48, 'elephant', 'goat')
(48, 'elephant', 'goose')
(48, 'elephant', 'rat')
(48, 'elephant', 'butterfly')
(48, 'camel', 'donkey')
(48, 'camel', 'goat')
(48, 'camel', 'goose')
(48, 'camel', 'rat')
(48, 'camel', 'butterfly')
(48, 'donkey', 'goat')
(48, 'donkey', 'goose')
(48, 'donkey', 'rat')
(48, 'donkey', 'butterfly')
(48, 'goat', 'goose')
(48, 'goat', 'rat')
(48, 'goat', 'butterfly')
(48, 'goose', 'rat')
(48, 'goose', 'butterfly')
(48, 'rat', 'butterfly')
(49, 'elephant', 'camel')
(49, 'elephant', 'donkey')
(49, 'elephant', 'goat')
(49, 'elephant', 'goose')
(49, 'elephant', 'rat')
(49, 'elephant', 'butterfly')
(49, 'camel', 'donkey')
(49, 'camel', 'goat')
(49, 'camel', 'goose')
(49, 'camel', 'rat')
(49, 'camel', 'butterfly')
(49, 'donkey', 'goat')
(49, 'donkey', 'goose')
(49, 'donkey', 'rat')
(49, 'donkey', 'butterfly')
(49, 'goat', 'goose')
(49, 'goat', 'rat')
(49, 'goat', 'butterfly')
(49, 'goose', 'rat')
(49, 'goose', 'butterfly')
(49, 'rat', 'butterfly')
(50, 'elephant', 'camel')
(50, 'elephant', 'donkey')
(50, 'elephant', 'goat')
(50, 'elephant', 'goose')
(50, 'elephant', 'rat')
(50, 'elephant', 'butterfly')
(50, 'camel', 'donkey')
(50, 'camel', 'goat')
(50, 'camel', 'goose')
(50, 'camel', 'rat')
(50, 'camel', 'butterfly')
(50, 'donkey', 'goat')
(50, 'donkey', 'goose')
(50, 'donkey', 'rat')
(50, 'donkey', 'butterfly')
(50, 'goat', 'goose')
(50, 'goat', 'rat')
(50, 'goat', 'butterfly')
(50, 'goose', 'rat')
(50, 'goose', 'butterfly')
(50, 'rat', 'butterfly')
(51, 'elephant', 'camel')
(51, 'elephant', 'donkey')
(51, 'elephant', 'goat')
(51, 'elephant', 'goose')
(51, 'elephant', 'rat')
(51, 'elephant', 'butterfly')
(51, 'camel', 'donkey')
(51, 'camel', 'goat')
(51, 'camel', 'goose')
(51, 'camel', 'rat')
(51, 'camel', 'butterfly')
(51, 'donkey', 'goat')
(51, 'donkey', 'goose')
(51, 'donkey', 'rat')
(51, 'donkey', 'butterfly')
(51, 'goat', 'goose')
(51, 'goat', 'rat')
(51, 'goat', 'butterfly')
(51, 'goose', 'rat')
(51, 'goose', 'butterfly')
(51, 'rat', 'butterfly')
(52, 'elephant', 'camel')
(52, 'elephant', 'donkey')
(52, 'elephant', 'goat')
(52, 'elephant', 'goose')
(52, 'elephant', 'rat')
(52, 'elephant', 'butterfly')
(52, 'camel', 'donkey')
(52, 'camel', 'goat')
(52, 'camel', 'goose')
(52, 'camel', 'rat')
(52, 'camel', 'butterfly')
(52, 'donkey', 'goat')
(52, 'donkey', 'goose')
(52, 'donkey', 'rat')
(52, 'donkey', 'butterfly')
(52, 'goat', 'goose')
(52, 'goat', 'rat')
(52, 'goat', 'butterfly')
(52, 'goose', 'rat')
(52, 'goose', 'butterfly')
(52, 'rat', 'butterfly')
(53, 'elephant', 'camel')
(53, 'elephant', 'donkey')
(53, 'elephant', 'goat')
(53, 'elephant', 'goose')
(53, 'elephant', 'rat')
(53, 'elephant', 'butterfly')
(53, 'camel', 'donkey')
(53, 'camel', 'goat')
(53, 'camel', 'goose')
(53, 'camel', 'rat')
(53, 'camel', 'butterfly')
(53, 'donkey', 'goat')
(53, 'donkey', 'goose')
(53, 'donkey', 'rat')
(53, 'donkey', 'butterfly')
(53, 'goat', 'goose')
(53, 'goat', 'rat')
(53, 'goat', 'butterfly')
(53, 'goose', 'rat')
(53, 'goose', 'butterfly')
(53, 'rat', 'butterfly')
(54, 'elephant', 'camel')
(54, 'elephant', 'donkey')
(54, 'elephant', 'goat')
(54, 'elephant', 'goose')
(54, 'elephant', 'rat')
(54, 'elephant', 'butterfly')
(54, 'camel', 'donkey')
(54, 'camel', 'goat')
(54, 'camel', 'goose')
(54, 'camel', 'rat')
(54, 'camel', 'butterfly')
(54, 'donkey', 'goat')
(54, 'donkey', 'goose')
(54, 'donkey', 'rat')
(54, 'donkey', 'butterfly')
(54, 'goat', 'goose')
(54, 'goat', 'rat')
(54, 'goat', 'butterfly')
(54, 'goose', 'rat')
(54, 'goose', 'butterfly')
(54, 'rat', 'butterfly')
(55, 'elephant', 'camel')
(55, 'elephant', 'donkey')
(55, 'elephant', 'goat')
(55, 'elephant', 'goose')
(55, 'elephant', 'rat')
(55, 'elephant', 'butterfly')
(55, 'camel', 'donkey')
(55, 'camel', 'goat')
(55, 'camel', 'goose')
(55, 'camel', 'rat')
(55, 'camel', 'butterfly')
(55, 'donkey', 'goat')
(55, 'donkey', 'goose')
(55, 'donkey', 'rat')
(55, 'donkey', 'butterfly')
(55, 'goat', 'goose')
(55, 'goat', 'rat')
(55, 'goat', 'butterfly')
(55, 'goose', 'rat')
(55, 'goose', 'butterfly')
(55, 'rat', 'butterfly')
(56, 'elephant', 'camel')
(56, 'elephant', 'donkey')
(56, 'elephant', 'goat')
(56, 'elephant', 'goose')
(56, 'elephant', 'rat')
(56, 'elephant', 'butterfly')
(56, 'camel', 'donkey')
(56, 'camel', 'goat')
(56, 'camel', 'goose')
(56, 'camel', 'rat')
(56, 'camel', 'butterfly')
(56, 'donkey', 'goat')
(56, 'donkey', 'goose')
(56, 'donkey', 'rat')
(56, 'donkey', 'butterfly')
(56, 'goat', 'goose')
(56, 'goat', 'rat')
(56, 'goat', 'butterfly')
(56, 'goose', 'rat')
(56, 'goose', 'butterfly')
(56, 'rat', 'butterfly')
(57, 'elephant', 'camel')
(57, 'elephant', 'donkey')
(57, 'elephant', 'goat')
(57, 'elephant', 'goose')
(57, 'elephant', 'rat')
(57, 'elephant', 'butterfly')
(57, 'camel', 'donkey')
(57, 'camel', 'goat')
(57, 'camel', 'goose')
(57, 'camel', 'rat')
(57, 'camel', 'butterfly')
(57, 'donkey', 'goat')
(57, 'donkey', 'goose')
(57, 'donkey', 'rat')
(57, 'donkey', 'butterfly')
(57, 'goat', 'goose')
(57, 'goat', 'rat')
(57, 'goat', 'butterfly')
(57, 'goose', 'rat')
(57, 'goose', 'butterfly')
(57, 'rat', 'butterfly')
(58, 'elephant', 'camel')
(58, 'elephant', 'donkey')
(58, 'elephant', 'goat')
(58, 'elephant', 'goose')
(58, 'elephant', 'rat')
(58, 'elephant', 'butterfly')
(58, 'camel', 'donkey')
(58, 'camel', 'goat')
(58, 'camel', 'goose')
(58, 'camel', 'rat')
(58, 'camel', 'butterfly')
(58, 'donkey', 'goat')
(58, 'donkey', 'goose')
(58, 'donkey', 'rat')
(58, 'donkey', 'butterfly')
(58, 'goat', 'goose')
(58, 'goat', 'rat')
(58, 'goat', 'butterfly')
(58, 'goose', 'rat')
(58, 'goose', 'butterfly')
(58, 'rat', 'butterfly')
(59, 'elephant', 'camel')
(59, 'elephant', 'donkey')
(59, 'elephant', 'goat')
(59, 'elephant', 'goose')
(59, 'elephant', 'rat')
(59, 'elephant', 'butterfly')
(59, 'camel', 'donkey')
(59, 'camel', 'goat')
(59, 'camel', 'goose')
(59, 'camel', 'rat')
(59, 'camel', 'butterfly')
(59, 'donkey', 'goat')
(59, 'donkey', 'goose')
(59, 'donkey', 'rat')
(59, 'donkey', 'butterfly')
(59, 'goat', 'goose')
(59, 'goat', 'rat')
(59, 'goat', 'butterfly')
(59, 'goose', 'rat')
(59, 'goose', 'butterfly')
(59, 'rat', 'butterfly')
(60, 'elephant', 'camel')
(60, 'elephant', 'donkey')
(60, 'elephant', 'goat')
(60, 'elephant', 'goose')
(60, 'elephant', 'rat')
(60, 'elephant', 'butterfly')
(60, 'camel', 'donkey')
(60, 'camel', 'goat')
(60, 'camel', 'goose')
(60, 'camel', 'rat')
(60, 'camel', 'butterfly')
(60, 'donkey', 'goat')
(60, 'donkey', 'goose')
(60, 'donkey', 'rat')
(60, 'donkey', 'butterfly')
(60, 'goat', 'goose')
(60, 'goat', 'rat')
(60, 'goat', 'butterfly')
(60, 'goose', 'rat')
(60, 'goose', 'butterfly')
(60, 'rat', 'butterfly')
(61, 'elephant', 'camel')
(61, 'elephant', 'donkey')
(61, 'elephant', 'goat')
(61, 'elephant', 'goose')
(61, 'elephant', 'rat')
(61, 'elephant', 'butterfly')
(61, 'camel', 'donkey')
(61, 'camel', 'goat')
(61, 'camel', 'goose')
(61, 'camel', 'rat')
(61, 'camel', 'butterfly')
(61, 'donkey', 'goat')
(61, 'donkey', 'goose')
(61, 'donkey', 'rat')
(61, 'donkey', 'butterfly')
(61, 'goat', 'goose')
(61, 'goat', 'rat')
(61, 'goat', 'butterfly')
(61, 'goose', 'rat')
(61, 'goose', 'butterfly')
(61, 'rat', 'butterfly')
(62, 'elephant', 'camel')
(62, 'elephant', 'donkey')
(62, 'elephant', 'goat')
(62, 'elephant', 'goose')
(62, 'elephant', 'rat')
(62, 'elephant', 'butterfly')
(62, 'camel', 'donkey')
(62, 'camel', 'goat')
(62, 'camel', 'goose')
(62, 'camel', 'rat')
(62, 'camel', 'butterfly')
(62, 'donkey', 'goat')
(62, 'donkey', 'goose')
(62, 'donkey', 'rat')
(62, 'donkey', 'butterfly')
(62, 'goat', 'goose')
(62, 'goat', 'rat')
(62, 'goat', 'butterfly')
(62, 'goose', 'rat')
(62, 'goose', 'butterfly')
(62, 'rat', 'butterfly')
(63, 'elephant', 'camel')
(63, 'elephant', 'donkey')
(63, 'elephant', 'goat')
(63, 'elephant', 'goose')
(63, 'elephant', 'rat')
(63, 'elephant', 'butterfly')
(63, 'camel', 'donkey')
(63, 'camel', 'goat')
(63, 'camel', 'goose')
(63, 'camel', 'rat')
(63, 'camel', 'butterfly')
(63, 'donkey', 'goat')
(63, 'donkey', 'goose')
(63, 'donkey', 'rat')
(63, 'donkey', 'butterfly')
(63, 'goat', 'goose')
(63, 'goat', 'rat')
(63, 'goat', 'butterfly')
(63, 'goose', 'rat')
(63, 'goose', 'butterfly')
