{' No': -0.0043764706, '\n': -13.538564, ' ': -10.545758, ' Generally': -13.064964, 'No': -5.4410486}
{' No': -0.006289354, ' ': -9.41475, 'No': -5.0861344, ' A': -13.189552, ' no': -13.166092}
{' No': -0.012937155, 'No': -4.588207, ' Yes': -6.128631, ' ': -8.319358, ' An': -9.056556}
{' No': -0.0051509636, 'No': -5.278491, ' ': -10.779368, ' Generally': -11.2267475, ' Not': -14.146174}
{' No': -0.0030745629, ' ': -10.256317, 'No': -5.798399, ' no': -13.72046, ' NO': -14.6276245}
{' No': -0.0025895562, ' ': -10.470042, 'No': -5.969407, ' no': -13.814947, ' NO': -14.69594}
{' No': -0.0027256375, ' ': -10.36268, 'No': -5.918918, ' no': -13.876547, ' NO': -14.492872}
{' No': -0.008434924, ' ': -9.961854, ' Generally': -7.3605256, 'No': -4.872826, ' A': -10.63352}
{' No': -0.004334446, 'No': -5.4545336, ' ': -10.302999, ' Generally': -11.563364, ' A': -13.182416}
{' No': -0.0047215405, ' ': -10.216616, ' Generally': -11.631866, 'No': -5.369229, ' A': -12.48875}
{' No': -10.136036, ' Generally': -9.438396, ' Yes': -0.0016848478, ' yes': -9.784628, 'Yes': -6.5229764}
{' No': -0.0049306895, 'No': -5.324619, ' ': -10.087088, ' A': -12.85633, ' Generally': -13.41906}
{' No': -0.009827845, ' ': -9.389485, ' Generally': -9.200404, 'No': -4.6836176, ' Yes': -8.365119}
{' No': -0.00618877, ' Not': -13.957807, ' ': -10.931739, ' Generally': -10.871903, 'No': -5.0947165}
{' No': -0.0043753954, ' ': -10.408579, 'No': -5.4413238, ' no': -14.048721, ' NO': -15.132204}
{' No': -0.0033577036, ' ': -10.571204, 'No': -5.7065206, ' no': -13.898565, ' NO': -14.939607}
{' No': -0.0037661998, ' ': -10.452464, 'No': -5.5918684, ' A': -14.517402, ' no': -14.035634}
{' No': -0.010689948, ' Generally': -6.2301297, ' Typically': -9.971391, 'No': -4.7711954, ' A': -9.93678}
{' No': -0.004701719, ' ': -10.434876, ' Generally': -11.282495, 'No': -5.372078, ' A': -13.320219}
{' No': -0.0049536317, ' ': -10.364177, ' Generally': -11.356412, 'No': -5.320362, ' A': -12.368645}
{' No': -9.044886, ' Generally': -8.131984, ' Yes': -0.0022533438, ' yes': -9.6252, 'Yes': -6.3704624}
{' No': -0.0058372016, ' ': -9.968386, ' Generally': -12.40777, 'No': -5.1568933, ' A': -11.964068}
{' An': -8.6073475, ' No': -0.010496939, ' Generally': -8.544882, 'No': -4.6396685, ' Yes': -8.314213}
{' No': -0.0064681713, ' ': -10.778483, ' Generally': -9.709794, ' Typically': -12.8002615, 'No': -5.0581574}
{' No': -0.004547224, ' ': -10.308214, 'No': -5.4034514, ' no': -13.866557, ' NO': -14.744954}
{' No': -0.0038348874, ' ': -10.376983, 'No': -5.574437, ' A': -14.520837, ' no': -13.754787}
{' No': -0.0039202105, ' ': -10.299498, 'No': -5.552878, ' A': -14.626543, ' no': -13.874782}
{' No': -0.011826159, ' Generally': -5.9977174, ' Typically': -9.503965, 'No': -4.7149053, ' A': -9.260145}
{' No': -0.0064669135, ' ': -10.095138, ' Generally': -10.124548, 'No': -5.058856, ' A': -12.180108}
{' No': -0.007127334, 'No': -4.960716, ' ': -9.906814, ' Generally': -10.480409, ' A': -11.515283}
{' No': -8.77121, ' Generally': -7.4975224, ' Yes': -0.0029089635, ' yes': -9.440285, 'Yes': -6.2128773}
{' No': -0.006824165, ' ': -9.787701, ' Generally': -12.0510025, 'No': -5.002155, ' A': -11.431419}
{' An': -8.181851, ' No': -0.011758974, ' Generally': -8.30527, 'No': -4.528776, ' Yes': -8.875868}
{' No': -0.0062739383, ' ': -10.774675, ' Generally': -9.82934, ' Typically': -13.054124, 'No': -5.08791}
{' No': -0.004085502, ' ': -10.404166, 'No': -5.510502, ' A': -14.811621, ' no': -13.839949}
{' No': -0.0036456492, ' ': -10.582536, 'No': -5.623914, ' A': -14.104776, ' no': -13.735153}
{' No': -0.0037009856, ' ': -10.408037, 'No': -5.6103, ' A': -13.41057, ' no': -13.836388}
{' No': -0.0108027905, ' ': -9.859399, ' Generally': -6.1015368, 'No': -4.8017497, ' A': -9.268107}
{' No': -0.00585249, ' ': -10.275282, ' Generally': -10.416148, 'No': -5.156596, ' A': -12.495674}
{' No': -0.0062924125, 'No': -5.08379, ' ': -10.190317, ' Generally': -10.6319065, ' A': -11.637005}
{' No': -8.051013, ' Generally': -7.3155313, ' Yes': -0.0031560583, ' yes': -9.300973, 'Yes': -6.2511516}
{' No': -0.006433857, ' ': -9.908157, ' Generally': -11.80155, 'No': -5.0615926, ' A': -11.126486}
{' An': -8.100529, ' No': -0.010916617, ' Generally': -8.362882, 'No': -4.6129465, ' Yes': -9.041971}
{' No': -0.0068344283, ' ': -11.062166, ' Generally': -10.047785, ' Typically': -13.169524, 'No': -4.998905}
{' No': -0.0043046325, 'No': -5.456922, ' ': -10.54345, ' no': -14.062434, ' NO': -14.836188}
{' No': -0.0033025618, ' ': -10.721202, 'No': -5.722005, ' A': -14.79797, ' no': -14.2539015}
{' No': -0.00367879, ' ': -10.708665, 'No': -5.6136694, ' A': -14.548005, ' no': -14.348826}
{' No': -0.011560211, ' Generally': -6.204501, ' Typically': -9.788893, 'No': -4.6839137, ' A': -9.521061}
{' No': -0.0059303143, ' ': -10.681316, ' Generally': -10.626316, 'No': -5.1399136, ' A': -12.573696}
{' No': -0.0064062644, 'No': -5.0624576, ' ': -10.569556, ' Generally': -10.869658, ' A': -11.793319}
{' No': -9.051607, ' Generally': -7.7995095, ' Yes': -0.0025568085, ' yes': -9.555794, 'Yes': -6.275484}
{' No': -0.0065882835, ' ': -10.299, ' Generally': -12.395651, 'No': -5.0333333, ' A': -11.670635}
{' An': -8.176007, ' No': -0.0120412605, ' Generally': -8.437033, 'No': -4.5121307, ' Yes': -8.084313}
{' No': -0.009728594, ' ': -10.622001, ' Generally': -9.58347, ' Typically': -12.528048, 'No': -4.648509}
{' No': -0.006974987, ' ': -9.790374, 'No': -4.9779034, ' no': -12.816253, ' NO': -13.93566}
{' No': -0.0063135256, '\n': -13.763039, ' ': -10.090697, 'No': -5.0758095, ' no': -12.838909}
{' No': -0.007663911, ' ': -9.7096405, 'No': -4.88426, ' A': -13.33332, ' no': -12.557367}
{' No': -0.014228207, ' Generally': -6.029762, ' Typically': -9.493796, 'No': -4.482055, ' A': -8.796519}
{' No': -0.009354056, ' ': -9.965374, ' Generally': -9.813675, 'No': -4.6896706, ' A': -11.699868}
{' No': -0.011996381, ' ': -9.309587, ' Generally': -10.163847, 'No': -4.4434614, ' A': -10.615744}
{' No': -8.742476, ' Generally': -7.742404, ' Yes': -0.00379103, ' yes': -8.826798, 'Yes': -5.8527956}
{' No': -0.01653289, ' ': -8.922462, ' Generally': -11.650925, 'No': -4.122604, ' A': -10.2644825}
{' An': -6.864881, ' No': -0.021039963, ' Generally': -8.01251, 'No': -4.0251503, ' Yes': -6.8592734}
{' No': -0.007141382, ' ': -10.347916, ' Generally': -12.883908, 'No': -4.9507732, ' no': -13.934415}
{' No': -0.004867018, ' ': -9.8690405, 'No': -5.3391967, ' no': -13.549946, ' NO': -13.982963}
{' No': -0.0039388803, ' ': -10.076593, 'No': -5.550407, ' no': -13.609337, ' NO': -14.060282}
{' No': -0.0042473464, ' ': -10.029523, 'No': -5.474952, ' no': -13.476905, ' NO': -13.891693}
{' No': -0.010184193, ' ': -9.68267, ' Generally': -9.205065, 'No': -4.610678, ' A': -11.423594}
{' No': -0.006815403, ' ': -10.107149, ' Generally': -13.087864, 'No': -4.9989705, ' no': -13.816257}
{' No': -0.0058024283, ' ': -10.121554, ' Generally': -12.692264, 'No': -5.1611786, ' A': -12.746306}
{' No': -8.470521, ' ': -9.766971, ' Yes': -0.0022329732, ' yes': -9.936932, 'Yes': -6.2787714}
{' No': -0.007856238, ' ': -9.988664, 'No': -4.857309, ' A': -12.539211, ' no': -13.471717}
{' An': -9.235448, ' No': -0.012647068, ' ': -9.083417, 'No': -4.523521, ' Yes': -6.533164}
{' No': -0.0066778036, 'No': -5.018177, ' ': -10.473581, ' Generally': -11.968014, ' no': -13.573595}
{' No': -0.0049499166, '\n': -14.078643, ' ': -10.052002, 'No': -5.320429, ' no': -13.186178}
{' No': -0.004377908, '\n': -14.205412, ' ': -10.141407, 'No': -5.4433327, ' no': -13.156166}
{' No': -0.0049123582, 'No': -5.327849, ' ': -10.096181, ' no': -13.058066, '\n': -13.988162}
{' No': -0.0088764625, 'No': -4.767343, ' Generally': -8.292733, ' ': -9.938842, ' A': -11.413722}
{' No': -0.0064087226, ' ': -10.05179, ' Generally': -12.223346, 'No': -5.061987, ' no': -13.043581}
{' No': -0.006043524, ' ': -10.073047, ' Generally': -12.780331, 'No': -5.120782, ' A': -12.641094}
{' No': -8.510562, ' Generally': -9.708043, ' Yes': -0.0024463793, ' yes': -9.210452, 'Yes': -6.208363}
{' No': -0.0069692857, ' ': -9.940869, 'No': -4.9777255, ' A': -13.068002, ' no': -12.969486}
{' An': -9.267656, ' No': -0.011212172, ' ': -9.171782, 'No': -4.538783, ' Yes': -8.55843}
{' No': -0.006134014, ' ': -10.288054, ' Generally': -13.528, 'No': -5.103231, ' no': -13.924203}
{' No': -0.0037477112, 'No': -5.60136, ' ': -10.011743, ' no': -13.659575, ' NO': -13.94639}
{' No': -0.003097463, ' ': -10.035262, 'No': -5.7937827, ' no': -13.796286, ' NO': -14.069054}
{' No': -0.0033808479, ' ': -10.061617, 'No': -5.704917, ' no': -13.758689, ' NO': -13.890145}
{' No': -0.009002756, ' ': -9.5342655, ' Generally': -10.552334, 'No': -4.7266426, ' A': -12.97224}
{' No': -0.0050114975, ' ': -9.898876, ' Generally': -13.330966, 'No': -5.3097253, ' no': -13.703436}
{' No': -0.0046954327, ' ': -10.075639, ' Generally': -13.560176, 'No': -5.3736944, ' no': -13.605483}
{' No': -7.95583, ' ': -9.18575, ' Yes': -0.002732212, ' yes': -9.676496, 'Yes': -6.132148}
{' No': -0.0054425434, ' ': -10.015639, 'No': -5.225188, ' A': -14.040453, ' no': -13.681286}
{' No': -0.010367507, 'No': -4.591735, ' Yes': -9.3886, ' ': -9.525487, ' An': -11.628063}
{' No': -0.0071119056, ' ': -10.973495, ' Generally': -12.153817, 'No': -4.953035, ' no': -14.484036}
{' No': -0.005949618, ' ': -10.425776, 'No': -5.13275, ' no': -14.072756, ' NO': -14.775879}
{' No': -0.005023716, ' ': -10.9396105, 'No': -5.299913, ' no': -14.201844, ' NO': -15.05215}
{' No': -0.004411133, ' ': -10.4637575, 'No': -5.4327574, ' no': -14.175837, ' NO': -14.676662}
{' No': -0.010328721, ' ': -10.283833, ' Generally': -7.393184, ' Typically': -11.043154, 'No': -4.6477475}
{' No': -0.005767957, ' ': -10.406038, ' Generally': -12.2476225, 'No': -5.164938, ' no': -14.045472}
{' No': -0.0056693447, ' ': -10.470282, ' Generally': -12.298262, 'No': -5.181954, ' A': -13.714752}
{' No': -7.9137034, ' Generally': -8.746336, ' Yes': -0.0029432147, ' yes': -9.543196, 'Yes': -6.0891056}
{' No': -0.007348753, 'No': -4.9226665, ' ': -10.202249, ' A': -13.340075, ' no': -13.768201}
{' No': -0.011923569, ' ': -9.892015, ' Generally': -10.568647, 'No': -4.4467454, ' Yes': -10.622103}
{' No': -0.006383405, ' ': -10.921351, ' Generally': -10.8937025, ' Typically': -13.967038, 'No': -5.063684}
{' No': -0.00468573, ' ': -10.442483, 'No': -5.3723235, ' no': -13.903208, ' NO': -14.852156}
{' No': -0.0035363587, 'No': -5.6544113, ' ': -10.559235, ' no': -13.845368, ' NO': -14.808317}
{' No': -0.0044011376, ' ': -10.383658, 'No': -5.4358373, ' no': -13.723284, ' NO': -14.615471}
{' No': -0.0090404665, ' ': -10.231925, ' Generally': -7.017036, ' Typically': -10.538739, 'No': -4.8298926}
{' No': -0.0059180213, ' ': -10.401883, ' Generally': -11.294226, 'No': -5.141044, ' A': -13.092737}
{' No': -0.005609463, ' ': -10.437259, ' Generally': -11.789174, 'No': -5.193941, ' A': -12.589788}
{' No': -7.3044295, ' Generally': -7.913587, ' Yes': -0.0031393163, ' yes': -9.5328045, 'Yes': -6.2616534}
{' No': -0.006469852, ' ': -10.080281, ' Generally': -13.402692, 'No': -5.051861, ' A': -12.247687}
{' An': -9.404531, ' No': -0.010299211, ' ': -9.741794, ' Generally': -9.758161, 'No': -4.608127}
{' No': -0.008314472, ' ': -9.241159, ' Generally': -7.630548, 'No': -4.888848, ' A': -10.383828}
{' No': -0.005743798, '\n': -11.43349, ' ': -8.841367, 'No': -5.198422, ' A': -11.69129}
{' No': -0.00601378, '\n': -11.007413, ' ': -8.8686, 'No': -5.153202, ' A': -11.203162}
{' No': -0.0075461958, '\n': -10.595368, ' ': -8.736231, 'No': -4.930981, ' A': -10.059438}
{' No': -0.01615677, ' Generally': -5.4280925, ' Typically': -8.496985, 'No': -4.5862765, ' A': -7.4251857}
{' No': -0.009931023, ' ': -9.132215, ' Generally': -8.059249, 'No': -4.678695, ' A': -9.565321}
{' No': -0.011282157, ' ': -8.944198, ' Generally': -8.161401, 'No': -4.553126, ' A': -8.74524}
{' No': -5.815597, ' Generally': -6.0836196, ' A': -6.8454914, ' Yes': -0.009964192, 'Yes': -5.8553867}
{' No': -0.01040292, ' ': -8.986524, ' Generally': -9.775148, 'No': -4.6120663, ' A': -8.751353}
{' No': -0.017138869, 'No': -4.3178873, ' An': -6.3406763, ' Generally': -7.738638, ' Ele': -7.8564024}
{' No': -0.010217313, 'No': -4.610666, ' Generally': -8.657039, ' ': -10.672599, ' Typically': -11.769687}
{' No': -0.0072813854, ' ': -10.486232, ' Generally': -14.264369, 'No': -4.9304914, ' no': -13.873693}
{' No': -0.006446515, ' ': -10.644528, 'No': -5.0518584, ' A': -14.005585, ' no': -13.700786}
{' No': -0.006504168, ' ': -10.561941, 'No': -5.043468, ' A': -13.314855, ' no': -13.494235}
{' No': -0.015176402, ' Generally': -6.1664615, ' Typically': -9.809194, 'No': -4.3635726, ' A': -9.863502}
{' No': -0.0100361975, ' ': -10.34921, ' Generally': -9.55303, 'No': -4.6188083, ' A': -11.781649}
{' No': -0.009269107, ' ': -10.3566475, ' Generally': -9.937266, 'No': -4.696895, ' A': -11.263825}
{' No': -5.4586735, ' Generally': -6.4275913, ' A': -9.107845, ' Yes': -0.008957287, 'Yes': -5.9537563}
{' No': -0.010852563, ' ': -9.889329, ' Generally': -11.47585, 'No': -4.5366535, ' A': -11.103367}
{' An': -7.914273, ' No': -0.018219667, ' Generally': -8.649496, 'No': -4.0646977, ' Yes': -8.814549}
{' No': -0.010354074, '\n': -12.740063, ' ': -10.19647, ' Generally': -11.606479, 'No': -4.580865}
{' No': -0.008199804, '\n': -12.889072, ' ': -9.672859, 'No': -4.816419, ' no': -12.868862}
{' No': -0.0069387346, 'No': -4.9844337, ' ': -9.660012, '\n': -12.856668, ' no': -12.919737}
{' No': -0.007010161, '\n': -12.838887, ' ': -9.70652, 'No': -4.9738183, ' no': -12.830318}
{' No': -0.012942713, ' ': -9.884545, ' Generally': -7.512479, 'No': -4.4078856, ' A': -10.246074}
{' No': -0.01018618, 'No': -4.5992613, ' ': -9.785071, ' Generally': -11.832069, '\n': -12.527402}
{' No': -0.009771808, ' ': -9.65044, ' Generally': -11.849392, 'No': -4.6420465, ' A': -12.073315}
{' No': -8.77447, ' Generally': -10.009849, ' Yes': -0.0032804967, ' yes': -9.34509, 'Yes': -5.833591}
{' No': -0.011244601, '\n': -12.444424, ' ': -9.475722, 'No': -4.5016503, ' A': -12.292471}
{' An': -8.586796, ' No': -0.02037157, ' ': -8.749554, 'No': -4.1591387, ' Yes': -5.5194445}
{' No': -0.0054946234, '\n': -13.60421, ' ': -10.725818, ' Generally': -12.769773, 'No': -5.2119613}
{' No': -0.0046147695, 'No': -5.38979, ' ': -10.205432, ' no': -13.54813, '\n': -13.672811}
{' No': -0.0036811838, '\n': -14.040059, ' ': -10.379804, 'No': -5.6157503, ' no': -13.645129}
{' No': -0.0038156197, '\n': -13.742241, ' ': -10.452897, 'No': -5.579234, ' no': -13.554065}
{' No': -0.009050151, 'No': -4.7284503, ' Generally': -9.135423, ' ': -10.078794, ' A': -11.84175}
{' No': -0.004708007, '\n': -13.565683, ' ': -10.403797, ' Generally': -12.324197, 'No': -5.3695626}
{' No': -0.0052074026, ' ': -10.58305, ' Generally': -12.689183, 'No': -5.2668743, ' A': -13.46808}
{' No': -8.828806, ' Generally': -10.491574, ' Yes': -0.0016204864, ' yes': -10.174266, 'Yes': -6.5903974}
{' No': -0.0054420037, ' ': -10.359724, ' Generally': -13.421103, 'No': -5.2237053, ' A': -12.940236}
{' No': -0.011510707, ' ': -9.509928, ' Generally': -9.718747, 'No': -4.8516326, ' Yes': -5.681589}
{' No': -0.00555402, ' ': -10.694343, ' Generally': -10.612295, ' Typically': -13.496424, 'No': -5.2058997}
{' No': -0.0042617135, 'No': -5.4707723, ' ': -10.115589, ' no': -13.508929, '\n': -13.860398}
{' No': -0.003412606, '\n': -13.861421, ' ': -10.327589, 'No': -5.6928406, ' no': -13.606692}
{' No': -0.0037553096, '\n': -13.828261, ' ': -10.3229475, 'No': -5.5964103, ' no': -13.480159}
{' No': -0.008152868, 'No': -4.966323, ' Generally': -6.921942, ' ': -9.733152, ' A': -10.180391}
{' No': -0.0049182875, ' ': -10.25056, ' Generally': -10.867307, 'No': -5.330365, ' A': -12.635955}
{' No': -0.005012576, ' ': -10.249668, ' Generally': -11.174879, 'No': -5.310934, ' A': -11.801673}
{' No': -8.2397585, ' Generally': -8.847183, ' Yes': -0.0020141178, ' yes': -9.79375, 'Yes': -6.5175247}
{' No': -0.0057246136, ' ': -10.071082, ' Generally': -12.759285, 'No': -5.175646, ' A': -12.0425205}
{' An': -8.763586, ' No': -0.010000916, ' Generally': -8.873489, 'No': -4.7154946, ' Yes': -7.507796}
{' No': -0.0067178286, '\n': -13.579851, ' ': -10.619173, ' Generally': -11.813649, 'No': -5.0118732}
{' No': -0.0054311566, '\n': -13.702092, ' ': -10.0750475, 'No': -5.2270784, ' no': -13.224842}
{' No': -0.0039463625, '\n': -13.940992, ' ': -10.31392, 'No': -5.5463715, ' no': -13.455865}
{' No': -0.0047199233, '\n': -13.62457, ' ': -10.2893, 'No': -5.3665915, ' no': -13.307074}
{' No': -0.01060133, ' ': -9.771126, ' Generally': -8.650513, 'No': -4.5771523, ' A': -11.3712015}
{' No': -0.0054583643, ' ': -10.270658, ' Generally': -11.792203, 'No': -5.2224646, ' A': -13.180123}
{' No': -0.0055509023, ' ': -10.313466, ' Generally': -11.851652, 'No': -5.2055955, ' A': -12.4851675}
{' No': -8.468836, ' Generally': -10.165531, ' Yes': -0.0022056126, ' yes': -9.849842, 'Yes': -6.289925}
{' No': -0.006290614, ' ': -10.311989, 'No': -5.07848, ' A': -12.760255, ' no': -13.357643}
{' An': -9.46198, ' No': -0.011599586, ' Generally': -9.513376, 'No': -4.563033, ' Yes': -7.0719857}
{' No': -0.006434337, 'No': -5.0559034, ' ': -10.555491, ' Generally': -11.451917, '\n': -13.372352}
{' No': -0.0048125745, '\n': -13.558294, ' ': -10.139908, 'No': -5.3480663, ' no': -13.518406}
{' No': -0.0040720953, '\n': -13.529808, ' ': -10.12421, 'No': -5.5165997, ' no': -13.4712}
{' No': -0.0043165465, 'No': -5.4562645, ' ': -10.302282, '\n': -13.502009, ' no': -13.579532}
{' No': -0.010685669, ' ': -9.777083, ' Generally': -8.158163, 'No': -4.5804334, ' A': -11.327922}
{' No': -0.0059992704, ' ': -10.197958, ' Generally': -11.558444, 'No': -5.128308, ' A': -13.037766}
{' No': -0.005751471, ' ': -10.300255, ' Generally': -11.728474, 'No': -5.170256, ' A': -12.319761}
{' Yes': -0.0023816742, 'Yes': -6.2911367, ' No': -8.010811, ' Generally': -9.525158, ' yes': -9.754989}
{' No': -0.006547785, '\n': -13.305074, ' ': -10.163941, 'No': -5.0392776, ' A': -12.654533}
{' An': -9.334928, ' No': -0.0110650435, ' ': -9.493644, 'No': -4.5712075, ' Yes': -7.855267}
{' No': -0.0059479997, '\n': -13.394034, ' ': -10.735583, ' Generally': -11.714223, 'No': -5.133607}
