{' Odd': -5.8681273, ' 1': -4.142514, ' odd': -0.10561937, ' 0': -6.320852, ' even': -2.6149137}
{' Odd': -5.5652266, ' an': -5.3787084, ' 1': -4.8858495, ' odd': -0.15123409, ' even': -2.1496024}
{' ': -7.568416, ':': -8.194393, ' Even': -6.9072514, ' "': -7.716337, ' even': -0.0031855362}
{' ': -6.5702934, ' an': -6.1776733, ' 1': -1.4895349, ' odd': -0.35100237, ' even': -2.7988362}
{' even': -0.002363212, ' an': -7.2748857, ' odd': -8.071021, ' Even': -8.115791, ' 0': -8.156706}
{'\n': -5.41911, ' Odd': -5.5609717, ' 1': -5.2423534, ' odd': -0.05527875, ' even': -3.4374197}
{' even': -0.004738669, ' Even': -6.7541337, ' an': -6.8251824, ':': -7.2402673, ' "': -7.6604486}
{' Odd': -4.9613857, ' an': -5.411497, ' 1': -3.9725459, ' odd': -0.074351594, ' even': -3.3789244}
{' odd': -0.59900504, ' even': -0.8661444, ' "': -5.206329, ' Odd': -5.2836237, ' an': -5.4382873}
{' ': -7.2827573, ':': -7.7163873, ' an': -7.106521, ' 0': -7.8868194, ' even': -0.0041587614}
{' Odd': -4.939941, ':': -6.966016, ' 1': -5.5998974, ' odd': -0.028343827, ' even': -4.3848414}
{':': -5.594493, ' an': -5.5325127, ' Even': -6.1180463, ' "': -6.108535, ' even': -0.021875292}
{' odd': -0.18932536, ' even': -2.0308475, ' 1': -3.4621267, ' Odd': -5.637858, ' an': -6.659042}
{' an': -5.6091084, ' Even': -6.8470435, ' "': -7.049663, ' 0': -7.9079256, ' even': -0.0081611015}
{'\n': -6.1373315, ' Odd': -5.745742, ' 1': -4.6028028, ' odd': -0.039314754, ' even': -4.1314363}
{' even': -0.007216545, ' an': -5.691179, ' odd': -7.216011, ' Even': -7.3809366, ':': -7.38898}
{' odd': -0.043629583, ' even': -3.899327, ' Odd': -4.6500344, ' 1': -5.2335825, ' an': -5.4961886}
{' odd': -0.25486457, ' even': -1.6675519, ':': -4.5549994, ' Odd': -4.643041, ' 1': -5.4171786}
{' even': -0.0236375, ' an': -5.366053, ' "': -5.472902, ':': -5.85883, ' Even': -5.9529605}
{' Odd': -5.2636914, ' an': -6.0715985, ' 1': -4.6995792, ' odd': -0.06585008, ' even': -3.1755958}
{' ': -6.603923, ':': -6.3656073, ' an': -6.5560546, ' Even': -5.767159, ' even': -0.010167757}
{' ': -5.875223, ' an': -5.480808, ' 1': -1.6875377, ' odd': -0.40182456, ' even': -2.0632596}
{' ': -6.9264884, ' an': -4.8141966, ' Even': -6.853012, ' "': -6.9629483, ' even': -0.014105121}
{' Odd': -5.025911, ' an': -5.734879, ' 1': -3.8098302, ' odd': -0.06719298, ' even': -3.7868447}
{' even': -0.0111209145, ' an': -5.4004126, ' Even': -6.0456204, ' "': -6.2312555, ':': -7.6121817}
{' Odd': -4.628988, ' an': -5.4745574, ' 1': -5.573007, ' odd': -0.05048824, ' even': -3.6753602}
{' Odd': -5.4836082, ':': -4.7761574, ' an': -4.644825, ' odd': -0.34733233, ' even': -1.3569119}
{' ': -7.734134, ':': -7.1004653, ' an': -7.0849752, ' Even': -6.983568, ' even': -0.00452064}
{' odd': -0.04302239, ' Odd': -3.9001408, ' even': -4.5817604, ' 1': -5.743553, ' "': -6.279196}
{' ': -7.3718762, ' an': -5.9055243, ' Even': -6.746651, ' "': -6.899945, ' even': -0.008012145}
{' odd': -0.27787006, ' even': -1.5379504, ' 1': -4.1538877, ' Odd': -5.7166166, ' "': -6.1181183}
{' ': -7.727452, ' an': -6.021666, ' Even': -7.525242, ' 0': -7.2578697, ' even': -0.00550811}
{' Odd': -5.958894, ' an': -6.4534893, ' 1': -3.6832542, ' odd': -0.041836143, ' even': -5.0662417}
{' even': -0.016410429, ' an': -4.672294, ' Even': -6.428278, ':': -6.4846387, ' "': -6.5310845}
{' odd': -0.05500528, ' even': -4.0189924, ' Odd': -4.052451, ' 1': -4.926857, ' an': -5.596458}
{':': -4.528155, ' an': -4.1372533, ' 1': -5.019291, ' odd': -0.42258507, ' even': -1.2216365}
{' ': -7.3701673, ' an': -6.3383474, ' "': -6.589321, ' odd': -7.1143575, ' even': -0.0072776033}
{' Odd': -4.9785867, ' an': -5.263225, ' "': -5.3597555, ' odd': -0.12803149, ' even': -2.3588634}
{':': -6.141078, ' an': -6.0208864, ' Even': -5.5802913, ' "': -6.115241, ' even': -0.016202504}
{' Odd': -5.857321, ' an': -5.9901047, ' 1': -5.2794604, ' odd': -0.1224793, ' even': -2.3188417}
{':': -5.8615866, ' an': -5.1606913, ' Even': -5.396435, ' "': -6.0905848, ' even': -0.02057775}
{' odd': -0.0146709215, ' Odd': -5.4933887, ' even': -5.569391, ' 1': -5.9300394, ':': -6.853419}
{' ': -7.7194395, ':': -7.707531, ' an': -7.135441, ' Even': -6.9686213, ' even': -0.0036813028}
{' Odd': -3.4075203, ' 1': -4.521616, ' "': -5.290039, ' odd': -0.065427065, ' even': -5.25348}
{' Odd': -5.3958774, ':': -4.7694373, ' "': -4.8278394, ' odd': -0.2576911, ' even': -1.6654842}
{'\n': -4.37698, ' ': -5.814868, ':': -4.12103, ' odd': -6.027013, ' even': -0.047921248}
{' Odd': -4.6391416, ' 1': -4.89628, ' "': -5.2775245, ' odd': -0.07203076, ' even': -3.2779667}
{' ': -7.3205824, ':': -7.217652, ' an': -7.5624676, ' Even': -6.428911, ' even': -0.004506211}
{' Odd': -3.4447947, ':': -4.403981, ' 1': -4.44821, ' odd': -0.09321702, ' even': -3.914306}
{' even': -0.009878469, ' 0': -5.789083, ' an': -6.004001, ' Even': -7.0864334, ':': -7.4507275}
{' ': -5.627564, ' an': -5.267711, ' 1': -3.0707936, ' odd': -0.13920657, ' even': -2.7586198}
{' ': -6.9318037, ':': -6.608223, ' an': -8.333489, ' Even': -6.789528, ' even': -0.0044923206}
{' Odd': -4.6005344, ' an': -5.520093, ' "': -6.5457554, ' odd': -0.036028903, ' even': -4.1308413}
{':': -5.943874, ' an': -5.026623, ' "': -5.406915, ' odd': -2.8464024, ' even': -0.0849803}
{' even': -0.0069432375, ' an': -6.002203, ' "': -6.5036273, ' Even': -7.402997, ' ': -7.670686}
{' odd': -0.045382384, ' even': -3.9526803, ' Odd': -4.6013093, ' 1': -5.1412954, ' "': -5.6364427}
{' even': -0.017226553, ' an': -5.5869894, ' Even': -5.8536167, ':': -5.9384336, ' "': -6.0208592}
{' Odd': -4.345374, ' ': -5.747116, ' an': -4.6763897, ' odd': -0.13067926, ' even': -2.465558}
{' even': -0.015551004, ' an': -4.8776093, ' odd': -6.4042797, ' ': -6.7381344, ' Even': -6.8501205}
{' Odd': -5.1709166, ' an': -5.2787127, ' 1': -6.292092, ' odd': -0.043082066, ' even': -3.6491363}
{':': -6.6157146, ' an': -5.591677, ' Even': -6.1439586, ' "': -6.69579, ' even': -0.011645296}
{' Odd': -5.237824, ' 1': -2.0565443, ' odd': -0.2289953, ' 0': -5.6522503, ' even': -2.8184574}
{' Odd': -4.8443623, ' an': -4.0995073, ' "': -5.3267527, ' odd': -0.18100393, ' even': -2.104562}
{'\n': -7.013179, ':': -6.063411, ' an': -6.291787, ' Even': -5.9957857, ' even': -0.010546996}
{' Odd': -5.2712126, ' an': -6.614697, ' 1': -4.6646166, ' odd': -0.032801636, ' even': -4.5109215}
{' even': -0.0085675325, ' an': -6.6532965, ' 0': -6.7973046, '\n': -6.993716, ' ': -7.043004}
{' Odd': -5.6838794, ' an': -5.68534, ' 1': -5.2289915, ' odd': -0.0980322, ' even': -2.600258}
{':': -6.2667413, ' an': -5.1991434, ' Even': -5.9018927, ' "': -6.2194333, ' even': -0.019276597}
{'\n': -4.2474732, ' Odd': -4.7208486, ':': -5.183942, ' odd': -0.07813785, ' even': -3.5380807}
{' ': -5.1818023, ':': -2.9800467, ' an': -3.9036925, ' Even': -5.1099916, ' even': -0.109274544}
{' Odd': -3.9735389, ' an': -5.7295585, ' 1': -5.632509, ' odd': -0.041918434, ' even': -4.564751}
{'\n': -4.7216277, ':': -3.5687728, ' an': -4.6556163, ' odd': -0.52465963, ' even': -1.1227622}
{' even': -0.037639193, ' 0': -4.2784123, '\n': -5.4443307, ' odd': -5.602793, ':': -5.6792603}
{' Odd': -5.262367, ' an': -6.24131, ' 1': -4.3524184, ' odd': -0.035754833, ' even': -4.513682}
{' even': -0.018048989, ' an': -5.157474, ' "': -5.990953, ' Even': -6.2268376, ' ': -6.3842797}
{' Odd': -5.5687175, ' an': -5.8145294, ' 1': -5.5365243, ' odd': -0.17544453, ' even': -1.9528035}
{' ': -6.7670145, ' an': -5.340427, ' Even': -6.3924627, ' "': -6.130333, ' even': -0.013014386}
{' Odd': -4.3972425, ' ': -5.9468718, ':': -5.1282, ' odd': -0.061396994, ' even': -3.570823}
{' even': -0.022016276, ' an': -4.6303124, ' "': -5.4506326, ' Even': -5.901641, ':': -6.9264235}
{'\n': -4.641914, ' Odd': -5.1886926, ' 1': -3.0237086, ' odd': -0.107668616, ' even': -3.7476294}
{':': -5.4726152, ' an': -5.0214024, ' "': -5.028186, ' odd': -0.98734015, ' even': -0.52169526}
{' ': -5.7387667, ':': -6.0684314, ' an': -5.051983, ' "': -5.9058642, ' even': -0.02679846}
{' Odd': -5.4158583, ' an': -5.683224, ' 1': -5.4567957, ' odd': -0.04467496, ' even': -3.6770828}
{':': -7.021355, ' an': -6.4106736, ' Even': -5.7320275, ' "': -6.7980866, ' even': -0.009066569}
{' odd': -0.2154547, ' even': -2.0905747, ' Odd': -3.2472339, ' an': -4.608153, ':': -5.2892623}
{' ': -8.224757, ' an': -7.9688044, ' Even': -7.4979467, ' EVEN': -8.672122, ' even': -0.0020249253}
{'\n': -5.0675426, ' ': -5.979829, ' 1': -3.345366, ' odd': -0.08627183, ' even': -3.4683096}
{' ': -5.853588, ':': -6.1051455, ' an': -4.740007, ' Even': -5.6313787, ' even': -0.025296802}
{' Odd': -3.925269, ':': -5.7721043, ' 1': -6.155219, ' odd': -0.04074529, ' even': -4.728416}
{' Odd': -4.989464, ':': -4.705346, ' 1': -4.920618, ' odd': -0.478182, ' even': -1.0840168}
{' even': -0.01181705, ' odd': -5.821053, ' 0': -6.128099, ' an': -6.434523, ' 1': -6.9189734}
{' Odd': -5.2566957, ' 1': -5.0150137, ' "': -5.3750153, ' odd': -0.17563868, ' even': -2.0448382}
{' ': -6.585948, ':': -6.5672903, ' an': -6.9264646, ' Even': -6.1857367, ' even': -0.008337548}
{' odd': -0.064645045, ' 1': -3.4364936, ' even': -3.9638898, ' Odd': -5.6332626, ' an': -6.1603985}
{'\n': -5.29679, ' ': -5.622499, ' an': -4.990013, ' 0': -5.0084667, ' even': -0.030365178}
{' Odd': -5.846083, ' an': -6.690203, ' 1': -3.3860931, ' odd': -0.05064429, ' even': -4.648931}
{' ': -7.474724, ':': -7.6076126, ' an': -7.1076994, ' Even': -7.228387, ' even': -0.0038406902}
{'\n': -6.7145705, ' Odd': -5.5073204, ' 1': -3.1982973, ' odd': -0.054296497, ' even': -5.7905464}
{' Odd': -4.7972946, ':': -3.9778004, ' "': -4.396848, ' odd': -0.51660174, ' even': -1.0807534}
{'\n': -5.348252, ' ': -5.5138288, ':': -5.640965, ' an': -5.2356, ' even': -0.033245686}
{' Odd': -6.2939157, ' 1': -2.9378192, ' odd': -0.062102333, ' 0': -7.3320374, ' even': -5.804132}
{' even': -0.014049808, ' an': -5.4851456, ' ': -6.3729033, ' Even': -6.4232187, ' "': -6.4720383}
{' Odd': -5.2447724, ' an': -5.8909464, ' 1': -5.61535, ' odd': -0.039816357, ' even': -3.8941503}
{' ': -7.8302965, ' an': -6.061625, ' Even': -6.150802, ' "': -7.0432367, ' even': -0.006895282}
{'\n': -5.533948, ' Odd': -5.084536, ':': -5.3440404, ' odd': -0.033449728, ' even': -4.756628}
{' ': -6.74484, ':': -6.44289, ' an': -5.3291793, ' "': -6.565644, ' even': -0.012082466}
{' Odd': -5.723828, ' ': -6.332648, ' 1': -3.2620165, ' odd': -0.07444707, ' even': -3.8232641}
{' odd': -0.4040442, ' even': -1.2603073, ':': -4.4548006, ' Odd': -4.7309875, ' "': -4.7689934}
{' even': -0.015825722, ':': -5.2490897, ' an': -5.7142124, ' Even': -6.4296446, ' odd': -6.6058874}
{' Odd': -5.4507823, ' ': -7.42937, ' 1': -3.553581, ' odd': -0.038387116, ' even': -6.092321}
{' even': -0.033040024, ':': -4.4518094, ' Even': -5.2311153, ' "': -5.548901, ' an': -5.6896324}
{' odd': -0.050559085, ' even': -3.3409739, ' Odd': -4.9283276, ' 1': -6.273779, ' ': -6.919804}
{' ': -7.3644943, ':': -6.839642, ' an': -7.324854, ' Even': -5.8330317, ' even': -0.006610543}
{' Odd': -4.7430983, ' an': -5.0920744, ' 1': -5.7369204, ' odd': -0.047003858, ' even': -3.8208628}
{' ': -7.674861, ':': -7.2471, ' an': -6.5534754, ' Even': -7.0467243, ' even': -0.004803889}
{' odd': -0.034268904, ' Odd': -4.3106923, ' even': -4.4136977, ' an': -5.494163, ' 1': -6.6096697}
{'\n': -4.629723, ' Odd': -4.064674, ':': -3.7831416, ' odd': -0.3348701, ' even': -1.6359413}
{':': -5.904807, ' an': -6.3862896, ' Even': -6.5014377, ' "': -6.68388, ' even': -0.011309041}
{'\n': -5.4174156, ' Odd': -5.8637996, ' 1': -2.2292557, ' odd': -0.15649416, ' even': -4.0150623}
{' ': -7.599325, ' an': -6.6405363, ' Even': -6.258483, ' "': -7.283216, ' even': -0.0057738917}
{' Odd': -4.7459717, ':': -6.0489383, ' an': -5.0781717, ' odd': -0.20865534, ' even': -1.8099338}
{':': -6.3719115, ' an': -6.179253, ' Even': -5.778302, ' EVEN': -7.2340627, ' even': -0.00977897}
{' Odd': -4.1660156, ' an': -6.237892, ' 1': -5.887501, ' odd': -0.02749095, ' even': -6.1410437}
{' an': -5.6903343, ' Even': -6.8451443, ' "': -6.882289, ' odd': -6.841076, ' even': -0.008328658}
{' odd': -0.048996955, ' even': -4.086507, ' Odd': -4.362793, ' an': -4.987423, ' 1': -5.2819657}
{' Odd': -5.1878977, ' ': -6.3406234, ' 1': -5.7198267, ' odd': -0.08078684, ' even': -2.7900229}
{' ': -7.4675007, ' an': -6.2674546, ' Even': -6.7490706, ' "': -6.4723296, ' even': -0.008100591}
{' Odd': -5.8566527, ' an': -6.9790854, ' 1': -6.3296933, ' odd': -0.01331062, ' even': -5.3216047}
{' ': -6.560952, ' an': -6.1659055, ' Even': -5.539473, ' "': -5.8431034, ' even': -0.014226695}
{' Odd': -4.566839, ' an': -4.293545, ' 1': -3.040336, ' odd': -0.6473735, ' even': -0.9661848}
{' even': -0.0115624415, ' an': -5.2605762, ' ': -6.711069, ' 0': -6.719465, ' "': -7.231735}
{' Odd': -5.352022, ' an': -5.384425, ' 1': -4.5943527, ' odd': -0.044474036, ' even': -4.06607}
{' ': -6.81189, ':': -5.735088, ' an': -5.9756556, ' Even': -6.4592423, ' even': -0.011102293}
{' odd': -0.02549929, ' 1': -4.7614403, ' even': -5.1048756, ' Odd': -5.1802316, ' an': -6.271627}
{' ': -6.0331864, ' an': -5.5695963, ' "': -5.7170105, ' odd': -0.24026416, ' even': -1.64446}
{' even': -0.0053573255, ' an': -6.6159863, ' "': -6.6795197, ' Even': -7.4847775, ' ': -7.5788546}
{' Odd': -5.0424523, ' an': -4.9632936, ' 1': -5.146909, ' odd': -0.081384204, ' even': -2.9818892}
{' even': -0.015322678, ' an': -5.1952915, ' Even': -5.8447413, ' "': -6.640185, ' ': -6.982574}
{' Odd': -5.4184456, ' an': -4.813362, ' 1': -3.9103527, ' odd': -0.15495327, ' even': -2.2714903}
{':': -7.431221, ' an': -6.3456726, ' Even': -7.1004367, ' odd': -7.4073844, ' even': -0.0054185106}
{'\n': -6.1422715, ' Odd': -6.332174, ' ': -5.992459, ' 1': -5.566031, ' odd': -0.015684076}
{'\n': -5.3651605, ' ': -5.9551377, ':': -4.489894, ' an': -5.3021336, ' even': -0.031619}
{' odd': -0.04233093, ' Odd': -4.1489477, ' even': -4.467004, ' an': -5.5069437, ' 1': -6.0489736}
{' Odd': -5.251096, ':': -5.822399, ' 1': -4.752865, ' odd': -0.47618797, ' even': -1.0552304}
{'\n': -5.719871, ' ': -6.510344, ':': -6.3639727, ' odd': -6.0920258, ' even': -0.015826385}
{' odd': -0.047836836, ' 1': -3.9969628, ' even': -4.761363, '\n': -4.946196, ' Odd': -5.369537}
{' ': -6.6105704, ' an': -5.22508, ' Even': -6.3192244, ' "': -6.220401, ' even': -0.01590493}
{' odd': -0.68653953, ' even': -0.85296136, ' 1': -3.1959083, ' an': -4.7606378, ' ': -5.454733}
{':': -6.2336802, ' an': -6.6418915, ' Even': -5.857382, ' odd': -6.3726406, ' even': -0.010743025}
{' Odd': -6.277934, ' an': -7.1192293, ' 1': -4.103865, ' odd': -0.024311244, ' even': -5.601251}
{' an': -5.0942717, ' Even': -6.492849, ' "': -6.626145, ' odd': -6.260398, ' even': -0.014161341}
{' Odd': -3.6971815, ':': -5.183759, ' an': -5.1357627, ' odd': -0.07080817, ' even': -3.8328443}
{' odd': -0.57734436, ' even': -0.88252205, ' an': -5.2355504, ' 1': -5.7086024, '\n': -5.8558726}
{':': -5.8581524, ' an': -5.4630184, ' Even': -5.9275203, ' "': -6.2634697, ' even': -0.019650493}
{' Odd': -4.898458, ' an': -4.7527566, ' "': -5.2910037, ' odd': -0.2410336, ' even': -1.737733}
{' even': -0.011666158, ' an': -5.599582, ' "': -6.0460305, ' Even': -6.6258054, ' odd': -6.9270205}
{' Odd': -6.6471243, ' an': -6.43478, ' 1': -5.0995374, ' odd': -0.09392725, ' even': -2.5627763}
{' ': -6.604333, ' an': -5.4285235, ' Even': -7.1028814, ' "': -6.9499645, ' even': -0.010399726}
{' ': -5.987312, ' an': -5.516635, ' 1': -3.921691, ' odd': -0.13262089, ' even': -2.4292796}
{'\n': -5.7006626, ':': -5.111555, ' an': -5.6773777, ' Even': -5.4970045, ' even': -0.023078807}
{' odd': -0.09171018, ' even': -3.087064, ' 1': -4.1898994, ' Odd': -4.572275, ' an': -5.711433}
{' Odd': -4.655002, ' ': -5.6058197, ':': -5.7001815, ' odd': -0.067312896, ' even': -3.2552047}
{':': -5.9790053, ' an': -6.318569, ' Even': -5.972197, ' "': -6.0289083, ' even': -0.015412744}
{' odd': -0.07153939, ' even': -2.9960625, ' Odd': -4.981005, ' 1': -5.687988, ':': -5.926425}
{' even': -0.008789811, ' an': -6.3274245, ' Even': -6.5693, ' "': -6.5884547, ' ': -6.7831182}
{' Odd': -6.3568115, ' an': -5.695719, ' 1': -5.2357607, ' odd': -0.04559915, ' even': -3.4711084}
{' ': -6.900282, ' an': -5.4606347, ' Even': -6.5431585, ' "': -7.295634, ' even': -0.010015306}
{' odd': -0.0747947, ' even': -2.9396334, ' Odd': -4.9138446, ' an': -5.087426, ' 1': -6.5991488}
{':': -7.8079495, ' an': -5.392903, ' Even': -6.2655473, ' "': -6.177378, ' even': -0.010683561}
{' odd': -0.06540397, ' Odd': -3.918931, '\n': -4.2114763, ' even': -4.696311, ':': -5.185452}
{' an': -5.0725007, ' 1': -5.241067, ' "': -5.0998106, ' odd': -0.47403654, ' even': -1.0881704}
{':': -7.4089265, ' an': -7.547338, ' odd': -7.614001, ' 0': -7.609649, ' even': -0.0038941246}
{' Odd': -5.2939787, ' 1': -4.3230543, ' odd': -0.20758945, ' 0': -5.739893, ' even': -1.8670715}
{' even': -0.005584587, ' an': -6.0783954, ' Even': -7.004284, ' "': -7.795935, ' ': -7.800295}
{' odd': -0.40250787, ' even': -1.2965987, ' 1': -3.7075424, ' an': -5.1780043, ' ': -5.235817}
{' ': -7.883829, ' an': -6.5696125, ' Even': -7.173993, ' odd': -8.148385, ' even': -0.004027211}
{' Odd': -5.5045867, ' an': -5.9702764, ' 1': -3.3764277, ' odd': -0.059352685, ' even': -4.5419383}
{' an': -6.5142956, ' Even': -6.448205, ' odd': -6.451581, ' 0': -6.4765115, ' even': -0.010213459}
{'\n': -5.5551243, ' Odd': -4.9392896, ' 1': -4.1249285, ' odd': -0.083094195, ' even': -3.1342165}
{' Odd': -5.002709, ' an': -5.228708, ' "': -4.8190446, ' odd': -0.45948672, ' even': -1.1026906}
{' ': -7.4001813, ' an': -7.1058373, ' Even': -7.1428304, ' "': -7.048438, ' even': -0.005061638}
{' Odd': -5.899309, ' an': -6.0715504, ' 1': -3.257439, ' odd': -0.07365086, ' even': -3.7693818}
{' even': -0.012231792, ' Even': -6.094821, ' an': -6.1219015, ':': -6.344106, '\n': -6.4918866}
{' Odd': -6.003746, ' an': -6.0671506, ' 1': -4.774595, ' odd': -0.12445506, ' even': -2.3054624}
{' ': -7.7438197, ' an': -5.768858, ' Even': -6.79846, ' "': -6.908273, ' even': -0.007351095}
{' Odd': -5.997143, ' an': -6.637656, ' 1': -4.7002287, ' odd': -0.020901185, ' even': -5.2087784}
{' even': -0.006069547, ' an': -6.3519864, ':': -6.7233887, ' Even': -6.995958, ' "': -7.3641944}
{' Odd': -4.6453466, ' an': -4.324635, ' "': -5.4467087, ' odd': -0.14696163, ' even': -2.2700725}
{' odd': -0.076045655, ' even': -2.8160186, ' 1': -5.0937476, ' 0': -6.482425, ' Odd': -6.6322093}
{':': -6.80584, ' an': -6.1397543, ' Even': -6.959412, ' "': -6.269674, ' even': -0.007970027}
{' Odd': -4.613167, ' 1': -4.510932, ' "': -5.4535117, ' odd': -0.05339064, ' even': -4.007927}
{' even': -0.002923011, ' Even': -7.354677, '\n': -7.5452867, ':': -7.87862, ' ': -7.9044833}
{' odd': -0.036103487, ' even': -4.112588, ' 1': -4.446021, ' Odd': -5.5590024, ' an': -6.6519027}
{' even': -0.013180519, ' an': -5.319844, ' 0': -6.6368966, ' Even': -6.712485, ' ': -6.7679176}
{'\n': -5.133847, ' Odd': -5.2971215, ' 1': -2.115783, ' odd': -0.1701273, ' even': -4.293895}
{':': -6.2862034, ' an': -5.5387683, ' Even': -5.665155, ' "': -6.1336503, ' even': -0.014609168}
{' Odd': -4.2650566, ' an': -5.713271, ' 1': -5.852057, ' odd': -0.038522895, ' even': -4.379882}
{' ': -5.3236136, ' an': -3.985435, ' "': -4.83886, ' odd': -0.6839797, ' even': -0.81997937}
{' even': -0.008131479, ' an': -6.3880877, ' "': -6.5876684, ' ': -6.8664575, ' Even': -7.3749685}
{' odd': -0.034020167, ' Odd': -4.564979, ' even': -4.709644, ' 1': -5.066381, ' "': -6.317626}
{' even': -0.005213815, ' Even': -6.576759, ' ': -6.976298, ' an': -7.220741, ' 0': -7.2423925}
{' odd': -0.19601426, ' even': -1.8644731, ' 1': -4.9043703, ' Odd': -5.6157537, ' an': -5.8220487}
{' even': -0.0034652392, ' an': -6.323489, ' Even': -7.7788367, ' ': -8.330493, ' odd': -8.62582}
{'\n': -5.0084095, ' Odd': -5.4292755, ' 1': -4.2115164, ' odd': -0.045158617, ' even': -5.0261393}
{' even': -0.014857234, ':': -5.3147326, ' an': -5.726588, ' Even': -6.3059664, ' ': -6.386561}
{' odd': -0.043606855, ' even': -3.881216, ' Odd': -4.5587754, ' 1': -5.7024903, ' an': -6.468986}
{' even': -0.59130836, ' odd': -0.8873785, ' "': -4.7978225, ' an': -4.8483214, ':': -5.6676555}
{' an': -5.6788015, ' Even': -6.9479647, ' "': -6.3336163, ' odd': -6.736101, ' even': -0.010316795}
{' Odd': -4.410021, ' 1': -4.5599527, ' "': -5.4310484, ' odd': -0.07584026, ' even': -3.346364}
{' even': -0.022773571, ' Even': -4.953283, ' an': -5.5701118, ' "': -5.7844715, ':': -5.785274}
{' Odd': -4.9243627, ':': -6.3926015, ' an': -5.515754, ' odd': -0.21738505, ' even': -1.7362411}
{' even': -0.0027980797, ' Even': -6.935148, ' an': -7.182327, ' EVEN': -8.359463, ' ': -8.708373}
{' odd': -0.03614007, ' even': -4.1048217, ' Odd': -4.845813, ' 1': -5.130402, ' an': -5.9580965}
{' ': -6.9038515, ' an': -5.7318172, ' Even': -7.12011, ' "': -7.560298, ' even': -0.007595564}
{' Odd': -3.9640112, ' an': -5.363532, ' "': -5.456033, ' odd': -0.055907477, ' even': -4.078904}
{' Odd': -4.505237, ' an': -5.05484, ' "': -3.986406, ' odd': -0.45169434, ' even': -1.1880233}
{' even': -0.010928727, ' an': -5.874325, ' "': -6.59743, ':': -6.633173, ' Even': -6.6353407}
{' Odd': -4.9008284, ':': -5.1854143, ' 1': -4.869066, ' odd': -0.07454801, ' even': -3.172374}
