(20, 'butterfly', 'rat')
(24, 'butterfly', 'donkey')
(24, 'butterfly', 'camel')
(24, 'butterfly', 'elephant')
(24, 'rat', 'goose')
(24, 'rat', 'goat')
(24, 'rat', 'donkey')
(24, 'rat', 'camel')
(24, 'rat', 'elephant')
(24, 'goose', 'goat')
(24, 'goose', 'donkey')
(24, 'goose', 'camel')
(24, 'goose', 'elephant')
(24, 'goat', 'donkey')
(24, 'goat', 'camel')
(24, 'goat', 'elephant')
(24, 'donkey', 'camel')
(24, 'donkey', 'elephant')
(24, 'camel', 'elephant')
(25, 'butterfly', 'rat')
(25, 'butterfly', 'goose')
(25, 'butterfly', 'goat')
(25, 'butterfly', 'donkey')
(25, 'butterfly', 'camel')
(25, 'butterfly', 'elephant')
(25, 'rat', 'goose')
(25, 'rat', 'goat')
(25, 'rat', 'donkey')
(25, 'rat', 'camel')
(25, 'rat', 'elephant')
(25, 'goose', 'goat')
(25, 'goose', 'donkey')
(25, 'goose', 'camel')
(25, 'goose', 'elephant')
(25, 'goat', 'donkey')
(25, 'goat', 'camel')
(25, 'goat', 'elephant')
(25, 'donkey', 'camel')
(25, 'donkey', 'elephant')
(25, 'camel', 'elephant')
(26, 'butterfly', 'rat')
(26, 'butterfly', 'goose')
(26, 'butterfly', 'goat')
(26, 'butterfly', 'donkey')
(26, 'butterfly', 'camel')
(26, 'butterfly', 'elephant')
(26, 'rat', 'goose')
(26, 'rat', 'goat')
(26, 'rat', 'donkey')
(26, 'rat', 'camel')
(26, 'rat', 'elephant')
(26, 'goose', 'goat')
(26, 'goose', 'donkey')
(26, 'goose', 'camel')
(26, 'goose', 'elephant')
(26, 'goat', 'donkey')
(26, 'goat', 'camel')
(26, 'goat', 'elephant')
(26, 'donkey', 'camel')
(26, 'donkey', 'elephant')
(26, 'camel', 'elephant')
(27, 'butterfly', 'rat')
(27, 'butterfly', 'goose')
(27, 'butterfly', 'goat')
(27, 'butterfly', 'donkey')
(27, 'butterfly', 'camel')
(27, 'butterfly', 'elephant')
(27, 'rat', 'goose')
(27, 'rat', 'goat')
(27, 'rat', 'donkey')
(27, 'rat', 'camel')
(27, 'rat', 'elephant')
(27, 'goose', 'goat')
(27, 'goose', 'donkey')
(27, 'goose', 'camel')
(27, 'goose', 'elephant')
(27, 'goat', 'donkey')
(27, 'goat', 'camel')
(27, 'goat', 'elephant')
(27, 'donkey', 'camel')
(27, 'donkey', 'elephant')
(27, 'camel', 'elephant')
(28, 'butterfly', 'rat')
(28, 'butterfly', 'goose')
(28, 'butterfly', 'goat')
(28, 'butterfly', 'donkey')
(28, 'butterfly', 'camel')
(28, 'butterfly', 'elephant')
(28, 'rat', 'goose')
(28, 'rat', 'goat')
(28, 'rat', 'donkey')
(28, 'rat', 'camel')
(28, 'rat', 'elephant')
(28, 'goose', 'goat')
(28, 'goose', 'donkey')
(28, 'goose', 'camel')
(28, 'goose', 'elephant')
(28, 'goat', 'donkey')
(28, 'goat', 'camel')
(28, 'goat', 'elephant')
(28, 'donkey', 'camel')
(28, 'donkey', 'elephant')
(28, 'camel', 'elephant')
(29, 'butterfly', 'rat')
(29, 'butterfly', 'goose')
(29, 'butterfly', 'goat')
(29, 'butterfly', 'donkey')
(29, 'butterfly', 'camel')
(29, 'butterfly', 'elephant')
(29, 'rat', 'goose')
(29, 'rat', 'goat')
(29, 'rat', 'donkey')
(29, 'rat', 'camel')
(29, 'rat', 'elephant')
(29, 'goose', 'goat')
(29, 'goose', 'donkey')
(29, 'goose', 'camel')
(29, 'goose', 'elephant')
(29, 'goat', 'donkey')
(29, 'goat', 'camel')
(29, 'goat', 'elephant')
(29, 'donkey', 'camel')
(29, 'donkey', 'elephant')
(29, 'camel', 'elephant')
(30, 'butterfly', 'rat')
(30, 'butterfly', 'goose')
(30, 'butterfly', 'goat')
(30, 'butterfly', 'donkey')
(30, 'butterfly', 'camel')
(30, 'butterfly', 'elephant')
(30, 'rat', 'goose')
(30, 'rat', 'goat')
(30, 'rat', 'donkey')
(30, 'rat', 'camel')
(30, 'rat', 'elephant')
(30, 'goose', 'goat')
(30, 'goose', 'donkey')
(30, 'goose', 'camel')
(30, 'goose', 'elephant')
(30, 'goat', 'donkey')
(30, 'goat', 'camel')
(30, 'goat', 'elephant')
(30, 'donkey', 'camel')
(30, 'donkey', 'elephant')
(30, 'camel', 'elephant')
(31, 'butterfly', 'rat')
(31, 'butterfly', 'goose')
(31, 'butterfly', 'goat')
(31, 'butterfly', 'donkey')
(31, 'butterfly', 'camel')
(31, 'butterfly', 'elephant')
(31, 'rat', 'goose')
(31, 'rat', 'goat')
(31, 'rat', 'donkey')
(31, 'rat', 'camel')
(31, 'rat', 'elephant')
(31, 'goose', 'goat')
(31, 'goose', 'donkey')
(31, 'goose', 'camel')
(31, 'goose', 'elephant')
(31, 'goat', 'donkey')
(31, 'goat', 'camel')
(31, 'goat', 'elephant')
(31, 'donkey', 'camel')
(31, 'donkey', 'elephant')
(31, 'camel', 'elephant')
(32, 'butterfly', 'rat')
(32, 'butterfly', 'goose')
(32, 'butterfly', 'goat')
(32, 'butterfly', 'donkey')
(32, 'butterfly', 'camel')
(32, 'butterfly', 'elephant')
(32, 'rat', 'goose')
(32, 'rat', 'goat')
(32, 'rat', 'donkey')
(32, 'rat', 'camel')
(32, 'rat', 'elephant')
(32, 'goose', 'goat')
(32, 'goose', 'donkey')
(32, 'goose', 'camel')
(32, 'goose', 'elephant')
(32, 'goat', 'donkey')
(32, 'goat', 'camel')
(32, 'goat', 'elephant')
(32, 'donkey', 'camel')
(32, 'donkey', 'elephant')
(32, 'camel', 'elephant')
(33, 'butterfly', 'rat')
(33, 'butterfly', 'goose')
(33, 'butterfly', 'goat')
(33, 'butterfly', 'donkey')
(33, 'butterfly', 'camel')
(33, 'butterfly', 'elephant')
(33, 'rat', 'goose')
(33, 'rat', 'goat')
(33, 'rat', 'donkey')
(33, 'rat', 'camel')
(33, 'rat', 'elephant')
(33, 'goose', 'goat')
(33, 'goose', 'donkey')
(33, 'goose', 'camel')
(33, 'goose', 'elephant')
(33, 'goat', 'donkey')
(33, 'goat', 'camel')
(33, 'goat', 'elephant')
(33, 'donkey', 'camel')
(33, 'donkey', 'elephant')
(33, 'camel', 'elephant')
(34, 'butterfly', 'rat')
(34, 'butterfly', 'goose')
(34, 'butterfly', 'goat')
(34, 'butterfly', 'donkey')
(34, 'butterfly', 'camel')
(34, 'butterfly', 'elephant')
(34, 'rat', 'goose')
(34, 'rat', 'goat')
(34, 'rat', 'donkey')
(34, 'rat', 'camel')
(34, 'rat', 'elephant')
(34, 'goose', 'goat')
(34, 'goose', 'donkey')
(34, 'goose', 'camel')
(34, 'goose', 'elephant')
(34, 'goat', 'donkey')
(34, 'goat', 'camel')
(34, 'goat', 'elephant')
(34, 'donkey', 'camel')
(34, 'donkey', 'elephant')
(34, 'camel', 'elephant')
(35, 'butterfly', 'rat')
(35, 'butterfly', 'goose')
(35, 'butterfly', 'goat')
(35, 'butterfly', 'donkey')
(35, 'butterfly', 'camel')
(35, 'butterfly', 'elephant')
(35, 'rat', 'goose')
(35, 'rat', 'goat')
(35, 'rat', 'donkey')
(35, 'rat', 'camel')
(35, 'rat', 'elephant')
(35, 'goose', 'goat')
(35, 'goose', 'donkey')
(35, 'goose', 'camel')
(35, 'goose', 'elephant')
(35, 'goat', 'donkey')
(35, 'goat', 'camel')
(35, 'goat', 'elephant')
(35, 'donkey', 'camel')
(35, 'donkey', 'elephant')
(35, 'camel', 'elephant')
(36, 'butterfly', 'rat')
(36, 'butterfly', 'goose')
(36, 'butterfly', 'goat')
(36, 'butterfly', 'donkey')
(36, 'butterfly', 'camel')
(36, 'butterfly', 'elephant')
(36, 'rat', 'goose')
(36, 'rat', 'goat')
(36, 'rat', 'donkey')
(36, 'rat', 'camel')
(36, 'rat', 'elephant')
(36, 'goose', 'goat')
(36, 'goose', 'donkey')
(36, 'goose', 'camel')
(36, 'goose', 'elephant')
(36, 'goat', 'donkey')
(36, 'goat', 'camel')
(36, 'goat', 'elephant')
(36, 'donkey', 'camel')
(36, 'donkey', 'elephant')
(36, 'camel', 'elephant')
(37, 'butterfly', 'rat')
(37, 'butterfly', 'goose')
(37, 'butterfly', 'goat')
(37, 'butterfly', 'donkey')
(37, 'butterfly', 'camel')
(37, 'butterfly', 'elephant')
(37, 'rat', 'goose')
(37, 'rat', 'goat')
(37, 'rat', 'donkey')
(37, 'rat', 'camel')
(37, 'rat', 'elephant')
(37, 'goose', 'goat')
(37, 'goose', 'donkey')
(37, 'goose', 'camel')
(37, 'goose', 'elephant')
(37, 'goat', 'donkey')
(37, 'goat', 'camel')
(37, 'goat', 'elephant')
(37, 'donkey', 'camel')
(37, 'donkey', 'elephant')
(37, 'camel', 'elephant')
(38, 'butterfly', 'rat')
(38, 'butterfly', 'goose')
(38, 'butterfly', 'goat')
(38, 'butterfly', 'donkey')
(38, 'butterfly', 'camel')
(38, 'butterfly', 'elephant')
(38, 'rat', 'goose')
(38, 'rat', 'goat')
(38, 'rat', 'donkey')
(38, 'rat', 'camel')
(38, 'rat', 'elephant')
(38, 'goose', 'goat')
(38, 'goose', 'donkey')
(38, 'goose', 'camel')
(38, 'goose', 'elephant')
(38, 'goat', 'donkey')
(38, 'goat', 'camel')
(38, 'goat', 'elephant')
(38, 'donkey', 'camel')
(38, 'donkey', 'elephant')
(38, 'camel', 'elephant')
(39, 'butterfly', 'rat')
(39, 'butterfly', 'goose')
(39, 'butterfly', 'goat')
(39, 'butterfly', 'donkey')
(39, 'butterfly', 'camel')
(39, 'butterfly', 'elephant')
(39, 'rat', 'goose')
(39, 'rat', 'goat')
(39, 'rat', 'donkey')
(39, 'rat', 'camel')
(39, 'rat', 'elephant')
(39, 'goose', 'goat')
(39, 'goose', 'donkey')
(39, 'goose', 'camel')
(39, 'goose', 'elephant')
(39, 'goat', 'donkey')
(39, 'goat', 'camel')
(39, 'goat', 'elephant')
(39, 'donkey', 'camel')
(39, 'donkey', 'elephant')
(39, 'camel', 'elephant')
(40, 'butterfly', 'rat')
(40, 'butterfly', 'goose')
(40, 'butterfly', 'goat')
(40, 'butterfly', 'donkey')
(40, 'butterfly', 'camel')
(40, 'butterfly', 'elephant')
(40, 'rat', 'goose')
(40, 'rat', 'goat')
(40, 'rat', 'donkey')
(40, 'rat', 'camel')
(40, 'rat', 'elephant')
(40, 'goose', 'goat')
(40, 'goose', 'donkey')
(40, 'goose', 'camel')
(40, 'goose', 'elephant')
(40, 'goat', 'donkey')
(40, 'goat', 'camel')
(40, 'goat', 'elephant')
(40, 'donkey', 'camel')
(40, 'donkey', 'elephant')
(40, 'camel', 'elephant')
(41, 'butterfly', 'rat')
(41, 'butterfly', 'goose')
(41, 'butterfly', 'goat')
(41, 'butterfly', 'donkey')
(41, 'butterfly', 'camel')
(41, 'butterfly', 'elephant')
(41, 'rat', 'goose')
(41, 'rat', 'goat')
(41, 'rat', 'donkey')
(41, 'rat', 'camel')
(41, 'rat', 'elephant')
(41, 'goose', 'goat')
(41, 'goose', 'donkey')
(41, 'goose', 'camel')
(41, 'goose', 'elephant')
(41, 'goat', 'donkey')
(41, 'goat', 'camel')
(41, 'goat', 'elephant')
(41, 'donkey', 'camel')
(41, 'donkey', 'elephant')
(41, 'camel', 'elephant')
(42, 'butterfly', 'rat')
(42, 'butterfly', 'goose')
(42, 'butterfly', 'goat')
(42, 'butterfly', 'donkey')
(42, 'butterfly', 'camel')
(42, 'butterfly', 'elephant')
(42, 'rat', 'goose')
(42, 'rat', 'goat')
(42, 'rat', 'donkey')
(42, 'rat', 'camel')
(42, 'rat', 'elephant')
(42, 'goose', 'goat')
(42, 'goose', 'donkey')
(42, 'goose', 'camel')
(42, 'goose', 'elephant')
(42, 'goat', 'donkey')
(42, 'goat', 'camel')
(42, 'goat', 'elephant')
(42, 'donkey', 'camel')
(42, 'donkey', 'elephant')
(42, 'camel', 'elephant')
(43, 'butterfly', 'rat')
(43, 'butterfly', 'goose')
(43, 'butterfly', 'goat')
(43, 'butterfly', 'donkey')
(43, 'butterfly', 'camel')
(43, 'butterfly', 'elephant')
(43, 'rat', 'goose')
(43, 'rat', 'goat')
(43, 'rat', 'donkey')
(43, 'rat', 'camel')
(43, 'rat', 'elephant')
(43, 'goose', 'goat')
(43, 'goose', 'donkey')
(43, 'goose', 'camel')
(43, 'goose', 'elephant')
(43, 'goat', 'donkey')
(43, 'goat', 'camel')
(43, 'goat', 'elephant')
(43, 'donkey', 'camel')
(43, 'donkey', 'elephant')
(43, 'camel', 'elephant')
(44, 'butterfly', 'rat')
(44, 'butterfly', 'goose')
(44, 'butterfly', 'goat')
(44, 'butterfly', 'donkey')
(44, 'butterfly', 'camel')
(44, 'butterfly', 'elephant')
(44, 'rat', 'goose')
(44, 'rat', 'goat')
(44, 'rat', 'donkey')
(44, 'rat', 'camel')
(44, 'rat', 'elephant')
(44, 'goose', 'goat')
(44, 'goose', 'donkey')
(44, 'goose', 'camel')
(44, 'goose', 'elephant')
(44, 'goat', 'donkey')
(44, 'goat', 'camel')
(44, 'goat', 'elephant')
(44, 'donkey', 'camel')
(44, 'donkey', 'elephant')
(44, 'camel', 'elephant')
(45, 'butterfly', 'rat')
(45, 'butterfly', 'goose')
(45, 'butterfly', 'goat')
(45, 'butterfly', 'donkey')
(45, 'butterfly', 'camel')
(45, 'butterfly', 'elephant')
(45, 'rat', 'goose')
(45, 'rat', 'goat')
(45, 'rat', 'donkey')
(45, 'rat', 'camel')
(45, 'rat', 'elephant')
(45, 'goose', 'goat')
(45, 'goose', 'donkey')
(45, 'goose', 'camel')
(45, 'goose', 'elephant')
(45, 'goat', 'donkey')
(45, 'goat', 'camel')
(45, 'goat', 'elephant')
(45, 'donkey', 'camel')
(45, 'donkey', 'elephant')
(45, 'camel', 'elephant')
(46, 'butterfly', 'rat')
(46, 'butterfly', 'goose')
(46, 'butterfly', 'goat')
(46, 'butterfly', 'donkey')
(46, 'butterfly', 'camel')
(46, 'butterfly', 'elephant')
(46, 'rat', 'goose')
(46, 'rat', 'goat')
(46, 'rat', 'donkey')
(46, 'rat', 'camel')
(46, 'rat', 'elephant')
(46, 'goose', 'goat')
(46, 'goose', 'donkey')
(46, 'goose', 'camel')
(46, 'goose', 'elephant')
(46, 'goat', 'donkey')
(46, 'goat', 'camel')
(46, 'goat', 'elephant')
(46, 'donkey', 'camel')
(46, 'donkey', 'elephant')
(46, 'camel', 'elephant')
(47, 'butterfly', 'rat')
(47, 'butterfly', 'goose')
(47, 'butterfly', 'goat')
(47, 'butterfly', 'donkey')
(47, 'butterfly', 'camel')
(47, 'butterfly', 'elephant')
(47, 'rat', 'goose')
(47, 'rat', 'goat')
(47, 'rat', 'donkey')
(47, 'rat', 'camel')
(47, 'rat', 'elephant')
(47, 'goose', 'goat')
(47, 'goose', 'donkey')
(47, 'goose', 'camel')
(47, 'goose', 'elephant')
(47, 'goat', 'donkey')
(47, 'goat', 'camel')
(47, 'goat', 'elephant')
(47, 'donkey', 'camel')
(47, 'donkey', 'elephant')
(47, 'camel', 'elephant')
(48, 'butterfly', 'rat')
(48, 'butterfly', 'goose')
(48, 'butterfly', 'goat')
(48, 'butterfly', 'donkey')
(48, 'butterfly', 'camel')
(48, 'butterfly', 'elephant')
(48, 'rat', 'goose')
(48, 'rat', 'goat')
(48, 'rat', 'donkey')
(48, 'rat', 'camel')
(48, 'rat', 'elephant')
(48, 'goose', 'goat')
(48, 'goose', 'donkey')
(48, 'goose', 'camel')
(48, 'goose', 'elephant')
(48, 'goat', 'donkey')
(48, 'goat', 'camel')
(48, 'goat', 'elephant')
(48, 'donkey', 'camel')
(48, 'donkey', 'elephant')
(48, 'camel', 'elephant')
(49, 'butterfly', 'rat')
(49, 'butterfly', 'goose')
(49, 'butterfly', 'goat')
(49, 'butterfly', 'donkey')
(49, 'butterfly', 'camel')
(49, 'butterfly', 'elephant')
(49, 'rat', 'goose')
(49, 'rat', 'goat')
(49, 'rat', 'donkey')
(49, 'rat', 'camel')
(49, 'rat', 'elephant')
(49, 'goose', 'goat')
(49, 'goose', 'donkey')
(49, 'goose', 'camel')
(49, 'goose', 'elephant')
(49, 'goat', 'donkey')
(49, 'goat', 'camel')
(49, 'goat', 'elephant')
(49, 'donkey', 'camel')
(49, 'donkey', 'elephant')
(49, 'camel', 'elephant')
(50, 'butterfly', 'rat')
(50, 'butterfly', 'goose')
(50, 'butterfly', 'goat')
(50, 'butterfly', 'donkey')
(50, 'butterfly', 'camel')
(50, 'butterfly', 'elephant')
(50, 'rat', 'goose')
(50, 'rat', 'goat')
(50, 'rat', 'donkey')
(50, 'rat', 'camel')
(50, 'rat', 'elephant')
(50, 'goose', 'goat')
(50, 'goose', 'donkey')
(50, 'goose', 'camel')
(50, 'goose', 'elephant')
(50, 'goat', 'donkey')
(50, 'goat', 'camel')
(50, 'goat', 'elephant')
(50, 'donkey', 'camel')
(50, 'donkey', 'elephant')
(50, 'camel', 'elephant')
(51, 'butterfly', 'rat')
(51, 'butterfly', 'goose')
(51, 'butterfly', 'goat')
(51, 'butterfly', 'donkey')
(51, 'butterfly', 'camel')
(51, 'butterfly', 'elephant')
(51, 'rat', 'goose')
(51, 'rat', 'goat')
(51, 'rat', 'donkey')
(51, 'rat', 'camel')
(51, 'rat', 'elephant')
(51, 'goose', 'goat')
(51, 'goose', 'donkey')
(51, 'goose', 'camel')
(51, 'goose', 'elephant')
(51, 'goat', 'donkey')
(51, 'goat', 'camel')
(51, 'goat', 'elephant')
(51, 'donkey', 'camel')
(51, 'donkey', 'elephant')
(51, 'camel', 'elephant')
(52, 'butterfly', 'rat')
(52, 'butterfly', 'goose')
(52, 'butterfly', 'goat')
(52, 'butterfly', 'donkey')
(52, 'butterfly', 'camel')
(52, 'butterfly', 'elephant')
(52, 'rat', 'goose')
(52, 'rat', 'goat')
(52, 'rat', 'donkey')
(52, 'rat', 'camel')
(52, 'rat', 'elephant')
(52, 'goose', 'goat')
(52, 'goose', 'donkey')
(52, 'goose', 'camel')
(52, 'goose', 'elephant')
(52, 'goat', 'donkey')
(52, 'goat', 'camel')
(52, 'goat', 'elephant')
(52, 'donkey', 'camel')
(52, 'donkey', 'elephant')
(52, 'camel', 'elephant')
(53, 'butterfly', 'rat')
(53, 'butterfly', 'goose')
(53, 'butterfly', 'goat')
(53, 'butterfly', 'donkey')
(53, 'butterfly', 'camel')
(53, 'butterfly', 'elephant')
(53, 'rat', 'goose')
(53, 'rat', 'goat')
(53, 'rat', 'donkey')
(53, 'rat', 'camel')
(53, 'rat', 'elephant')
(53, 'goose', 'goat')
(53, 'goose', 'donkey')
(53, 'goose', 'camel')
(53, 'goose', 'elephant')
(53, 'goat', 'donkey')
(53, 'goat', 'camel')
(53, 'goat', 'elephant')
(53, 'donkey', 'camel')
(53, 'donkey', 'elephant')
(53, 'camel', 'elephant')
(54, 'butterfly', 'rat')
(54, 'butterfly', 'goose')
(54, 'butterfly', 'goat')
(54, 'butterfly', 'donkey')
(54, 'butterfly', 'camel')
(54, 'butterfly', 'elephant')
(54, 'rat', 'goose')
(54, 'rat', 'goat')
(54, 'rat', 'donkey')
(54, 'rat', 'camel')
(54, 'rat', 'elephant')
(54, 'goose', 'goat')
(54, 'goose', 'donkey')
(54, 'goose', 'camel')
(54, 'goose', 'elephant')
(54, 'goat', 'donkey')
(54, 'goat', 'camel')
(54, 'goat', 'elephant')
(54, 'donkey', 'camel')
(54, 'donkey', 'elephant')
(54, 'camel', 'elephant')
(55, 'butterfly', 'rat')
(55, 'butterfly', 'goose')
(55, 'butterfly', 'goat')
(55, 'butterfly', 'donkey')
(55, 'butterfly', 'camel')
(55, 'butterfly', 'elephant')
(55, 'rat', 'goose')
(55, 'rat', 'goat')
(55, 'rat', 'donkey')
(55, 'rat', 'camel')
(55, 'rat', 'elephant')
(55, 'goose', 'goat')
(55, 'goose', 'donkey')
(55, 'goose', 'camel')
(55, 'goose', 'elephant')
(55, 'goat', 'donkey')
(55, 'goat', 'camel')
(55, 'goat', 'elephant')
(55, 'donkey', 'camel')
(55, 'donkey', 'elephant')
(55, 'camel', 'elephant')
(56, 'butterfly', 'rat')
(56, 'butterfly', 'goose')
(56, 'butterfly', 'goat')
(56, 'butterfly', 'donkey')
(56, 'butterfly', 'camel')
(56, 'butterfly', 'elephant')
(56, 'rat', 'goose')
(56, 'rat', 'goat')
(56, 'rat', 'donkey')
(56, 'rat', 'camel')
(56, 'rat', 'elephant')
(56, 'goose', 'goat')
(56, 'goose', 'donkey')
(56, 'goose', 'camel')
(56, 'goose', 'elephant')
(56, 'goat', 'donkey')
(56, 'goat', 'camel')
(56, 'goat', 'elephant')
(56, 'donkey', 'camel')
(56, 'donkey', 'elephant')
(56, 'camel', 'elephant')
(57, 'butterfly', 'rat')
(57, 'butterfly', 'goose')
(57, 'butterfly', 'goat')
(57, 'butterfly', 'donkey')
(57, 'butterfly', 'camel')
(57, 'butterfly', 'elephant')
(57, 'rat', 'goose')
(57, 'rat', 'goat')
(57, 'rat', 'donkey')
(57, 'rat', 'camel')
(57, 'rat', 'elephant')
(57, 'goose', 'goat')
(57, 'goose', 'donkey')
(57, 'goose', 'camel')
(57, 'goose', 'elephant')
(57, 'goat', 'donkey')
(57, 'goat', 'camel')
(57, 'goat', 'elephant')
(57, 'donkey', 'camel')
(57, 'donkey', 'elephant')
(57, 'camel', 'elephant')
(58, 'butterfly', 'rat')
(58, 'butterfly', 'goose')
(58, 'butterfly', 'goat')
(58, 'butterfly', 'donkey')
(58, 'butterfly', 'camel')
(58, 'butterfly', 'elephant')
(58, 'rat', 'goose')
(58, 'rat', 'goat')
(58, 'rat', 'donkey')
(58, 'rat', 'camel')
(58, 'rat', 'elephant')
(58, 'goose', 'goat')
(58, 'goose', 'donkey')
(58, 'goose', 'camel')
(58, 'goose', 'elephant')
(58, 'goat', 'donkey')
(58, 'goat', 'camel')
(58, 'goat', 'elephant')
(58, 'donkey', 'camel')
(58, 'donkey', 'elephant')
(58, 'camel', 'elephant')
(59, 'butterfly', 'rat')
(59, 'butterfly', 'goose')
(59, 'butterfly', 'goat')
(59, 'butterfly', 'donkey')
(59, 'butterfly', 'camel')
(59, 'butterfly', 'elephant')
(59, 'rat', 'goose')
(59, 'rat', 'goat')
(59, 'rat', 'donkey')
(59, 'rat', 'camel')
(59, 'rat', 'elephant')
(59, 'goose', 'goat')
(59, 'goose', 'donkey')
(59, 'goose', 'camel')
(59, 'goose', 'elephant')
(59, 'goat', 'donkey')
(59, 'goat', 'camel')
(59, 'goat', 'elephant')
(59, 'donkey', 'camel')
(59, 'donkey', 'elephant')
(59, 'camel', 'elephant')
(60, 'butterfly', 'rat')
(60, 'butterfly', 'goose')
(60, 'butterfly', 'goat')
(60, 'butterfly', 'donkey')
(60, 'butterfly', 'camel')
(60, 'butterfly', 'elephant')
(60, 'rat', 'goose')
(60, 'rat', 'goat')
(60, 'rat', 'donkey')
(60, 'rat', 'camel')
(60, 'rat', 'elephant')
(60, 'goose', 'goat')
(60, 'goose', 'donkey')
(60, 'goose', 'camel')
(60, 'goose', 'elephant')
(60, 'goat', 'donkey')
(60, 'goat', 'camel')
(60, 'goat', 'elephant')
(60, 'donkey', 'camel')
(60, 'donkey', 'elephant')
(60, 'camel', 'elephant')
(61, 'butterfly', 'rat')
(61, 'butterfly', 'goose')
(61, 'butterfly', 'goat')
(61, 'butterfly', 'donkey')
(61, 'butterfly', 'camel')
(61, 'butterfly', 'elephant')
(61, 'rat', 'goose')
(61, 'rat', 'goat')
(61, 'rat', 'donkey')
(61, 'rat', 'camel')
(61, 'rat', 'elephant')
(61, 'goose', 'goat')
(61, 'goose', 'donkey')
(61, 'goose', 'camel')
(61, 'goose', 'elephant')
(61, 'goat', 'donkey')
(61, 'goat', 'camel')
(61, 'goat', 'elephant')
(61, 'donkey', 'camel')
(61, 'donkey', 'elephant')
(61, 'camel', 'elephant')
(62, 'butterfly', 'rat')
(62, 'butterfly', 'goose')
(62, 'butterfly', 'goat')
(62, 'butterfly', 'donkey')
(62, 'butterfly', 'camel')
(62, 'butterfly', 'elephant')
(62, 'rat', 'goose')
(62, 'rat', 'goat')
(62, 'rat', 'donkey')
(62, 'rat', 'camel')
(62, 'rat', 'elephant')
(62, 'goose', 'goat')
(62, 'goose', 'donkey')
(62, 'goose', 'camel')
(62, 'goose', 'elephant')
(62, 'goat', 'donkey')
(62, 'goat', 'camel')
(62, 'goat', 'elephant')
(62, 'donkey', 'camel')
(62, 'donkey', 'elephant')
(62, 'camel', 'elephant')
(63, 'butterfly', 'rat')
(63, 'butterfly', 'goose')
(63, 'butterfly', 'goat')
(63, 'butterfly', 'donkey')
(63, 'butterfly', 'camel')
(63, 'butterfly', 'elephant')
(63, 'rat', 'goose')
(63, 'rat', 'goat')
(63, 'rat', 'donkey')
(63, 'rat', 'camel')
(63, 'rat', 'elephant')
(63, 'goose', 'goat')
(63, 'goose', 'donkey')
(63, 'goose', 'camel')
(63, 'goose', 'elephant')
(63, 'goat', 'donkey')
(63, 'goat', 'camel')
(63, 'goat', 'elephant')
(63, 'donkey', 'camel')
(63, 'donkey', 'elephant')
